fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file,fighter_a_implied_probability,fighter_b_implied_probability,market_probability_sum,fighter_a_no_vig_probability,fighter_b_no_vig_probability
2023-11-18,UFC Fight Night: Allen vs. Craig,Chase Hooper,Jordan Leavitt,espn_source,-185,155,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6491228070175439,0.39215686274509803,1.0412796697626419,0.6233894945490586,0.37661050545094155
2023-11-18,UFC Fight Night: Allen vs. Craig,Payton Talbott,Nick Aguirre,espn_source,-725,475,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8787878787878788,0.17391304347826086,1.0527009222661396,0.8347934918648311,0.16520650813516896
2023-11-18,UFC Fight Night: Allen vs. Craig,Luana Pinheiro,Amanda Ribas,espn_source,185,-225,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.3508771929824561,0.6923076923076923,1.0431848852901484,0.33635187580853815,0.6636481241914618
2023-11-18,UFC Fight Night: Allen vs. Craig,Jonathan Pearce,Joanderson Brito,espn_source,-150,125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6,0.4444444444444444,1.0444444444444443,0.574468085106383,0.4255319148936171
2023-11-18,UFC Fight Night: Allen vs. Craig,Chad Anheliger,Jose Johnson,espn_source,175,-210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.36363636363636365,0.6774193548387096,1.0410557184750733,0.34929577464788736,0.6507042253521127
2023-11-18,UFC Fight Night: Allen vs. Craig,Christian Leroy Duncan,Denis Tiuliulin,espn_source,-650,450,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8666666666666667,0.18181818181818182,1.0484848484848486,0.8265895953757225,0.17341040462427745
2023-11-18,UFC Fight Night: Allen vs. Craig,Mick Parkin,Caio Machado,espn_source,-370,280,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.7872340425531915,0.2631578947368421,1.0503919372900337,0.7494669509594882,0.2505330490405117
2023-11-18,UFC Fight Night: Allen vs. Craig,Jeka Saragih,Lucas Alexander,espn_source,360,-500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.21739130434782608,0.8333333333333334,1.0507246376811594,0.20689655172413793,0.7931034482758621
2023-11-18,UFC Fight Night: Allen vs. Craig,Lucie Pudilova,Ailin Perez,espn_source,165,-195,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.37735849056603776,0.6610169491525424,1.03837543971858,0.36341238065906994,0.6365876193409301
2023-11-18,UFC Fight Night: Allen vs. Craig,Trey Ogden,Nikolas Motta,espn_source,105,-125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.4878048780487805,0.5555555555555556,1.043360433604336,0.4675324675324675,0.5324675324675325
2023-11-18,UFC Fight Night: Allen vs. Craig,Charles Johnson,Rafael Estevam,espn_source,120,-140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.45454545454545453,0.5833333333333334,1.0378787878787878,0.43795620437956206,0.562043795620438
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Beneil Dariush,Arman Tsarukyan,espn_source,210,-260,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.3225806451612903,0.7222222222222222,1.0448028673835126,0.30874785591766724,0.6912521440823327
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Jalin Turner,King Green,espn_source,-175,145,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6363636363636364,0.40816326530612246,1.0445269016697587,0.6092362344582594,0.39076376554174075
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Rob Font,Deiveson Figueiredo,espn_source,-125,105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5555555555555556,0.4878048780487805,1.043360433604336,0.5324675324675325,0.4675324675324675
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Sean Brady,Kelvin Gastelum,espn_source,-115,-105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5348837209302325,0.5121951219512195,1.0470788428814521,0.5108342361863488,0.4891657638136511
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,espn_source,260,-330,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.2777777777777778,0.7674418604651163,1.045219638242894,0.2657601977750309,0.7342398022249692
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Punahele Soriano,Dustin Stoltzfus,espn_source,-575,360,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8518518518518519,0.21739130434782608,1.069243156199678,0.7966867469879517,0.20331325301204817
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Miesha Tate,Julia Avila,espn_source,125,-150,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.4444444444444444,0.6,1.0444444444444443,0.4255319148936171,0.574468085106383
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Zachary Reese,Cody Brundage,espn_source,-270,220,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.7297297297297297,0.3125,1.0422297297297298,0.7001620745542949,0.299837925445705
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Drakkar Klose,Joe Solecki,espn_source,-130,110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5652173913043478,0.47619047619047616,1.041407867494824,0.5427435387673957,0.4572564612326044
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Rodolfo Bellato,Ihor Potieria,espn_source,-400,300,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8,0.25,1.05,0.7619047619047619,0.23809523809523808
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Wellington Turman,Jared Gooden,espn_source,-220,180,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6875,0.35714285714285715,1.0446428571428572,0.6581196581196581,0.3418803418803419
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Veronica Hardy,Jamey-Lyn Horth,espn_source,175,-210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.36363636363636365,0.6774193548387096,1.0410557184750733,0.34929577464788736,0.6507042253521127
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Song Yadong,Chris Gutierrez,espn_source,-370,280,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.7872340425531915,0.2631578947368421,1.0503919372900337,0.7494669509594882,0.2505330490405117
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Anthony Smith,Khalil Rountree Jr.,espn_source,175,-210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.36363636363636365,0.6774193548387096,1.0410557184750733,0.34929577464788736,0.6507042253521127
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Nasrat Haqparast,Jamie Mullarkey,espn_source,-200,170,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6666666666666666,0.37037037037037035,1.037037037037037,0.6428571428571429,0.35714285714285715
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Tim Elliott,Sumudaerji,espn_source,-170,140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6296296296296297,0.4166666666666667,1.0462962962962963,0.6017699115044248,0.39823008849557523
2023-12-10,UFC Fight Night: Song vs. Gutierrez,JunYong Park,Andre Muniz,espn_source,-190,160,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6551724137931034,0.38461538461538464,1.039787798408488,0.6301020408163266,0.3698979591836735
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Song Kenan,Kevin Jousset,espn_source,125,-150,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.4444444444444444,0.6,1.0444444444444443,0.4255319148936171,0.574468085106383
