name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Anthony Njokuani,Orthodox,,,75.0,,,
Mike Lullo,Orthodox,,,,,,
Raoni Barcelos,Orthodox,,,67.0,,,
Payton Talbott,Switch,,,70.0,,,
Cristian Quinonez,Orthodox,,,70.0,,,
Kyler Phillips,Orthodox,,,72.0,,,
Umar Nurmagomedov,Orthodox,,,69.0,,,
Trevin Jones,Southpaw,,,70.0,,,
Timur Valiev,Orthodox,,,67.0,,,
Khalid Taha,Orthodox,,,69.0,,,
Said Nurmagomedov,Orthodox,,,70.0,,,
Carlos Huachin,Southpaw,,,67.0,,,
Chris Gutierrez,Orthodox,,,67.0,,,
Kurt Holobaugh,Orthodox,,,70.0,,,
Daniel Barez,Orthodox,,,66.0,,,
Andre Lima,Orthodox,,,67.0,,,
Victor Altamirano,Switch,,,70.0,,,
Jafel Filho,Orthodox,,,68.0,,,
Carlos Hernandez,Orthodox,,,67.0,,,
Danny Barlow,Southpaw,,,79.0,,,
Djorden Santos,Orthodox,,,75.0,,,
Nikolay Veretennikov,Orthodox,,,74.0,,,
Josh Quinlan,Orthodox,,,72.0,,,
Raheam Forest,Switch,,,73.0,,,
Luke Barnatt,Orthodox,,,77.0,,,
Mark Munoz,Orthodox,,,71.0,,,
Roger Narvaez,Southpaw,,,,,,
Mats Nilsson,Orthodox,,,,,,
Andrew Craig,Orthodox,,,76.0,,,
Collin Hart,Orthodox,,,,,,
James Barnes,Orthodox,,,71.0,,,
Pedro Falcao,Orthodox,,,66.0,,,
Shonte Barnes,Southpaw,,,76.0,,,
Joseph Holmes,Orthodox,,,80.0,,,
Nandor Guelmino,Orthodox,,,,,,
Geronimo dos Santos,Orthodox,,,,,,
Siala Siliga,Orthodox,,,,,,
Gilbert Yvel,Orthodox,,,77.0,,,
Jeff Monson,Orthodox,,,74.0,,,
Hidehiko Yoshida,Orthodox,,,,,,
Antonio Rodrigo Nogueira,Orthodox,,,77.0,,,
Pawel Nastula,Southpaw,,,,,,
Mark Hunt,Orthodox,,,72.0,,,
Aleksander Emelianenko,Orthodox,,,,,,
Mirko Filipovic,Southpaw,,,73.0,,,
Bobby Hoffman,Orthodox,,,,,,
Semmy Schilt,Orthodox,,,,,,
Gan McGee,Orthodox,,,,,,
Chris Barnett,Orthodox,,,75.0,,,
Hamdy Abdelwahab,Southpaw,,,72.0,,,
Kennedy Nzechukwu,Southpaw,,,83.0,,,
Gian Villante,Orthodox,,,76.0,,,
Chris Barnhizer,Orthodox,,,,,,
Karl Willis,Orthodox,,,,,,
David Baron,Switch,,,,,,
Jim Miller,Southpaw,,,71.0,,,
Phil Baroni,Orthodox,,,72.0,,,
Amir Sadollah,Orthodox,,,75.0,,,
Joe Riggs,Southpaw,,,70.0,,,
Joey Villasenor,Orthodox,,,,,,
Yosuke Nishijima,Orthodox,,,,,,
Kazuo Misaki,Orthodox,,,,,,
Yuki Kondo,Southpaw,,,,,,
Ikuhisa Minowa,Orthodox,,,,,,
Ryo Chonan,Orthodox,,,70.0,,,
Pete Sell,Orthodox,,,75.0,,,
Evan Tanner,Orthodox,,,74.0,,,
Dave Menne,Orthodox,,,,,,
Amar Suloev,Orthodox,,,,,,
Curtis Stout,Southpaw,,,,,,
Dan Barrera,Orthodox,,,,,,
Ben Saunders,Orthodox,,,77.0,,,
Carlos Barreto,Orthodox,,,,,,
Tra Telligman,Orthodox,,,,,,
Igor Vovchanchyn,Orthodox,,,,,,
Dave Beneteau,Orthodox,,,,,,
Jose Barreto,Southpaw,,,,,,
Peter Barrett,Southpaw,,,73.0,,,
Chase Hooper,Southpaw,,,74.0,,,
Youssef Zalal,Switch,,,72.0,,,
SangHoon Yoo,Orthodox,,,74.0,,,
Shara Magomedov,Orthodox,,,73.0,,,
Bruno Silva,Orthodox,,,65.0,,,
Dustin Stoltzfus,Orthodox,,,75.0,,,
Joe Pyfer,Orthodox,,,75.0,,,
Chris Curtis,Orthodox,,,75.0,,,
Eryk Anders,Southpaw,,,75.0,,,
Julian Marquez,Orthodox,,,72.0,,,
Anthony Hernandez,Orthodox,,,75.0,,,
Jordan Wright,Orthodox,,,77.0,,,
Chidi Njokuani,Orthodox,,,80.0,,,
Oskar Piechota,Southpaw,,,76.0,,,
JunYong Park,Orthodox,,,73.0,,,
Andrew Sanchez,Orthodox,,,74.0,,,
David Barrios,Orthodox,,,,,,
Anthony Figueroa,Orthodox,,,,,,
Alexandre Barros,Southpaw,,,,,,
Martin Kampmann,Orthodox,,,72.0,,,
Ricardo Barros,Orthodox,,,,,,
Francimar Barroso,Orthodox,,,75.0,,,
Darren Stewart,Orthodox,,,74.0,,,
Elvis Mutapcic,Orthodox,,,72.0,,,
Ryan Jimmo,Orthodox,,,73.0,,,
Hans Stringer,Orthodox,,,,,,
Ednaldo Oliveira,Orthodox,,,,,,
Pat Barry,Orthodox,,,74.0,,,
Soa Palelei,Orthodox,,,81.0,,,
Shawn Jordan,Southpaw,,,75.0,,,
Shane del Rosario,Southpaw,,,,,,
Lavar Johnson,Orthodox,,,82.0,,,
Christian Morecraft,Orthodox,,,81.0,,,
Cheick Kongo,Orthodox,,,82.0,,,
Antoni Hardonk,Orthodox,,,78.0,,,
Tim Hague,Orthodox,,,76.0,,,
Dan Evensen,Orthodox,,,,,,
Dean Barry,Orthodox,,,72.0,,,
Mike Jackson,Orthodox,,,74.0,,,
Rani Yahya,Orthodox,,,67.0,,,
Movsar Evloev,Orthodox,,,72.0,,,
Bobby Moffett,Orthodox,,,73.0,,,
Kevin Aguilar,Orthodox,,,73.0,,,
Matt Bessette,Orthodox,,,70.0,,,
Kyle Bochniak,Orthodox,,,70.0,,,
Javid Basharat,Orthodox,,,69.0,,,
Mateus Mendonca,Orthodox,,,71.0,,,
Tony Gravely,Orthodox,,,69.0,,,
Oron Kahlon,Orthodox,,,70.0,,,
Farid Basharat,Orthodox,,,71.0,,,
Victor Hugo,Orthodox,,,71.0,,,
Taylor Lapilus,Southpaw,,,73.0,,,
Kleydson Rodrigues,Orthodox,,,67.0,,,
Da'Mon Blackshear,Switch,,,72.0,,,
Allan Begosso,Orthodox,,,66.0,,,
Austin Bashi,Orthodox,,,70.0,,,
John Yannis,Southpaw,,,70.0,,,
Christian Rodriguez,Orthodox,,,71.0,,,
Dorian Ramos,Orthodox,,,70.0,,,
Stephen Bass,Orthodox,,,,,,
Marcus Brimage,Southpaw,,,71.0,,,
Sean Bassett,Orthodox,,,,,,
David Smith,Orthodox,,,,,,
Chris Amarante,Orthodox,,,,,,
Ryan Bastianelli,Orthodox,,,,,,
Hussain Rasouli,Orthodox,,,,,,
Shayna Baszler,Orthodox,,,,,,
Amanda Nunes,Orthodox,,,69.0,,,
Bethe Correia,Orthodox,,,64.0,,,
Sara McMann,Orthodox,,,66.0,,,
Sarah Kaufman,Orthodox,,,66.0,,,
Cristiane Justino,Orthodox,,,68.0,,,
Namsrai Batbayar,Orthodox,,,68.0,,,
Agulali,Switch,,,67.0,,,
Wataru Yamauchi,Orthodox,,,68.0,,,
Michel Batista,Orthodox,,,,,,
Maurice Greene,Orthodox,,,80.0,,,
Bryan Battle,Orthodox,,,77.0,,,
Kevin Jousset,Orthodox,,,75.0,,,
Ange Loosa,Orthodox,,,74.0,,,
AJ Fletcher,Switch,,,67.0,,,
Gabe Green,Switch,,,73.0,,,
Rinat Fakhretdinov,Orthodox,,,74.0,,,
Tresean Gore,Switch,,,75.0,,,
Gilbert Urbina,Orthodox,,,75.0,,,
Josh Parisian,Orthodox,,,79.0,,,
Parker Porter,Orthodox,,,75.0,,,
Rodrigo Nascimento,Orthodox,,,80.0,,,
Mario Bautista,Switch,,,69.0,,,
Patchy Mix,Southpaw,,,70.0,,,
Jose Aldo,Orthodox,,,70.0,,,
Guido Cannetti,Southpaw,,,68.0,,,
Benito Lopez,Switch,,,73.0,,,
Jin Soo Son,Orthodox,,,69.0,,,
Chris Beal,Orthodox,,,69.0,,,
Joe Soto,Orthodox,,,65.0,,,
Chris Kelades,Orthodox,,,68.0,,,
Neil Seery,Orthodox,,,64.0,,,
Tateki Matsuda,Orthodox,,,,,,
Patrick Williams,Orthodox,,,73.0,,,
Donovan Beard,Orthodox,,,78.0,,,
Bo Nickal,Southpaw,,,76.0,,,
Rudy Bears,Southpaw,,,,,,
Tyron Woodley,Orthodox,,,74.0,,,
Ariel Beck,Southpaw,,,66.0,,,
Shana Dobson,Orthodox,,,69.0,,,
Jack Becker,Orthodox,,,71.0,,,
JaeHyun Park,Orthodox,,,73.0,,,
Jeff Bedard,Orthodox,,,,,,
Johnny Bedford,Orthodox,,,71.0,,,
Louis Gaudinot,Orthodox,,,63.0,,,
Rolando Bedoya,Orthodox,,,74.0,,,
Jamie Mullarkey,Orthodox,,,74.0,,,
Jai Herbert,Orthodox,,,77.0,,,
Song Kenan,Orthodox,,,71.0,,,
Chase Beebe,Orthodox,,,67.0,,,
Hiroyuki Takaya,Orthodox,,,,,,
Yoshiro Maeda,Southpaw,,,68.0,,,
Joe Warren,Orthodox,,,,,,
Will Ribeiro,Orthodox,,,,,,
Pat Healy,Orthodox,,,72.0,,,
Duane Ludwig,Orthodox,,,70.0,,,
Ray Perales,Orthodox,,,,,,
Azamat Bekoev,Orthodox,,,72.0,,,
Yousri Belgaroui,Orthodox,,,79.0,,,
Ryan Loder,Southpaw,,,76.0,,,
Mirsad Bektic,Orthodox,,,70.0,,,
Ricardo Lamas,Orthodox,,,71.0,,,
Darren Elkins,Orthodox,,,71.0,,,
Russell Doane,Orthodox,,,70.0,,,
Paul Redmond,Orthodox,,,,,,
Chas Skelly,Orthodox,,,72.0,,,
Molly McCann,Orthodox,,,62.0,,,
Karolina Kowalkiewicz,Orthodox,,,64.0,,,
Maria Oliveira,Orthodox,,,69.0,,,
Gloria de Paula,Orthodox,,,67.0,,,
Hannah Goldy,Orthodox,,,61.0,,,
Liana Jojua,Orthodox,,,62.0,,,
Alan Belcher,Orthodox,,,75.0,,,
Michael Bisping,Orthodox,,,75.0,,,
Yushin Okami,Southpaw,,,75.0,,,
Rousimar Palhares,Orthodox,,,71.0,,,
Jason MacDonald,Orthodox,,,80.0,,,
Patrick Cote,Orthodox,,,75.0,,,
Wilson Gouveia,Orthodox,,,76.0,,,
Yoshihiro Akiyama,Orthodox,,,75.0,,,
Denis Kang,Orthodox,,,77.0,,,
Ed Herman,Orthodox,,,77.0,,,
Jason Day,Orthodox,,,72.0,,,
Kalib Starnes,Orthodox,,,74.0,,,
Sean Salmon,Southpaw,,,,,,
Kendall Grove,Orthodox,,,79.0,,,
Jorge Santiago,Orthodox,,,75.0,,,
Vitor Belfort,Southpaw,,,74.0,,,
Nate Marquardt,Orthodox,,,74.0,,,
Kelvin Gastelum,Southpaw,,,71.0,,,
Gegard Mousasi,Orthodox,,,76.0,,,
Jacare Souza,Orthodox,,,72.0,,,
Luke Rockhold,Southpaw,,,77.0,,,
Rich Franklin,Southpaw,,,76.0,,,
Terry Martin,Orthodox,,,71.0,,,
James Zikic,Orthodox,,,,,,
Ivan Serati,Orthodox,,,,,,
Yoshiki Takahashi,Southpaw,,,,,,
Marvin Eastman,Orthodox,,,73.0,,,
Chuck Liddell,Orthodox,,,76.0,,,
Heath Herring,Orthodox,,,78.0,,,
Bobby Southworth,Orthodox,,,,,,
Daijiro Matsui,Orthodox,,,,,,
Joe Charles,Southpaw,,,,,,
Randy Couture,Orthodox,,,75.0,,,
Scott Ferrozzo,Orthodox,,,,,,
Taiga Iwasaki,Orthodox,,,73.0,,,
Marco Tulio,Orthodox,,,74.0,,,
Rodolfo Bellato,Orthodox,,,75.0,,,
Navajo Stirling,Orthodox,,,79.0,,,
Jimmy Crute,Orthodox,,,74.0,,,
Ihor Potieria,Southpaw,,,75.0,,,
Murtaza Talha,Orthodox,,,74.0,,,
Vitor Petrino,Orthodox,,,77.0,,,
Danilo Belluardo,Southpaw,,,74.0,,,
Mark Madsen,Orthodox,,,72.0,,,
Joel Alvarez,Orthodox,,,77.0,,,
Fabio Maldonado,Orthodox,,,75.0,,,
Igor Pokrajac,Orthodox,,,74.0,,,
James Te Huna,Orthodox,,,75.0,,,
Aaron Rosa,Orthodox,,,77.0,,,
Matt Mitrione,Switch,,,82.0,,,
Rolles Gracie,Orthodox,,,,,,
Marco Beltran,Orthodox,,,69.0,,,
Matt Schnell,Orthodox,,,70.0,,,
Deiveson Figueiredo,Orthodox,,,68.0,,,
Reginaldo Vieira,Orthodox,,,65.0,,,
Guangyou Ning,Southpaw,,,64.0,,,
Marlon Vera,Switch,,,70.0,,,
Jussier Formiga,Orthodox,,,67.0,,,
Dustin Ortiz,Orthodox,,,65.0,,,
Alex Perez,Orthodox,,,65.0,,,
Sergio Pettis,Orthodox,,,69.0,,,
Henry Cejudo,Orthodox,,,64.0,,,
Zach Makovsky,Southpaw,,,64.0,,,
John Moraga,Orthodox,,,66.0,,,
Darren Uyenoyama,Orthodox,,,65.0,,,
Ian McCall,Orthodox,,,64.0,,,
Yasuhiro Urushitani,Southpaw,,,,,,
Eddie Wineland,Orthodox,,,69.0,,,
Ian Loveland,Orthodox,,,,,,
Wagnney Fabiano,Southpaw,,,69.0,,,
Dominick Cruz,Orthodox,,,68.0,,,
Jeff Curran,Orthodox,,,69.0,,,
Danny Martinez,Orthodox,,,67.0,,,
Junya Kudo,Orthodox,,,,,,
Mike Bencic,Orthodox,,,,,,
Mario Sperry,Orthodox,,,,,,
Oleg Taktarov,Orthodox,,,,,,
Todd Medina,Southpaw,,,,,,
Asbel Cancio,Orthodox,,,,,,
Karla Benitez,Orthodox,,,,,,
Megumi Fujii,Orthodox,,,,,,
Maheshate,Orthodox,,,71.0,,,
Charlie Ontiveros,Switch,,,74.0,,,
Justin Jaynes,Orthodox,,,68.0,,,
Omar Morales,Orthodox,,,73.0,,,
Jason Knight,Orthodox,,,71.0,,,
Sam Sicilia,Orthodox,,,67.0,,,
Clay Collard,Orthodox,,,73.0,,,
Humberto Brown Morrison,Orthodox,,,,,,
Charles Bennett,Orthodox,,,,,,
KJ Noons,Orthodox,,,70.0,,,
Ken Kaneko,Orthodox,,,,,,
Josh Bennett,Orthodox,,,,,,
Mychal Clark,Orthodox,,,,,,
DeAnna Bennett,Orthodox,,,68.0,,,
Melinda Fabian,Orthodox,,,66.0,,,
Benjamin Bennett,Switch,,,73.0,,,
Joey Hart,Orthodox,,,79.0,,,
Sean Pierson,Southpaw,,,76.0,,,
Matthew Riddle,Southpaw,,,76.0,,,
Ryan Benoit,Orthodox,,,68.0,,,
Zarrukh Adashev,Southpaw,,,65.0,,,
Ashkan Mokhtarian,Southpaw,,,67.0,,,
Fredy Serrano,Orthodox,,,65.0,,,
Ben Nguyen,Switch,,,65.0,,,
Josh Sampo,Orthodox,,,64.0,,,
Pat Benson,Orthodox,,,,,,
Dave Cochran,Orthodox,,,,,,
Len Bentley,Orthodox,,,,,,
Marques Daniels,Orthodox,,,,,,
Steve Berger,Orthodox,,,,,,
Eddy Ellis,Orthodox,,,,,,
Benji Radach,Orthodox,,,,,,
Tony DeSouza,Southpaw,,,70.0,,,
Kenneth Bergh,Orthodox,,,74.0,,,
Antonio Trocoli,Orthodox,,,80.0,,,
Bret Bergmark,Orthodox,,,,,,
Vagner Rocha,Orthodox,,,73.0,,,
Mike Pyle,Orthodox,,,74.0,,,
Keith Berish,Orthodox,,,,,,
Ryan Janes,Orthodox,,,76.0,,,
Robert Drysdale,Orthodox,,,,,,
Dennis Bermudez,Orthodox,,,66.0,,,
Te Edwards,Orthodox,,,72.0,,,
Ricky Glenn,Southpaw,,,70.0,,,
Chan Sung Jung,Orthodox,,,72.0,,,
Rony Jason,Orthodox,,,73.0,,,
Jimy Hettes,Southpaw,,,71.0,,,
Steven Siler,Orthodox,,,70.0,,,
Max Holloway,Orthodox,,,69.0,,,
Matt Grice,Orthodox,,,70.0,,,
Tommy Hayden,Southpaw,,,,,,
Pablo Garza,Orthodox,,,73.0,,,
Manny Bermudez,Orthodox,,,71.0,,,
Charles Rosa,Switch,,,69.0,,,
Albert Morales,Orthodox,,,72.0,,,
Sarah Moras,Orthodox,,,67.0,,,
Irene Aldana,Orthodox,,,68.0,,,
Marion Reneau,Orthodox,,,68.0,,,
Dave Berry,Orthodox,,,,,,
Roberto Traven,Orthodox,,,,,,
Keith Berry,Orthodox,,,,,,
Adlan Amagov,Orthodox,,,76.0,,,
Trevor Smith,Orthodox,,,75.0,,,
Dieusel Berto,Orthodox,,,,,,
Geza Kalman,Orthodox,,,,,,
Edson Berto,Orthodox,,,,,,
Victor Valenzuela,Orthodox,,,71.0,,,
Allen Berube,Orthodox,,,,,,
Leonard Garcia,Orthodox,,,68.0,,,
Anton Berzin,Orthodox,,,,,,
Scott Bessac,Orthodox,,,,,,
David Hood,Orthodox,,,,,,
Steven Peterson,Orthodox,,,70.0,,,
Khadzhi Bestaev,Orthodox,,,76.0,,,
Phil Hawes,Orthodox,,,77.0,,,
Fernando Bettega,Orthodox,,,,,,
Wayne Phillips,Orthodox,,,,,,
Arjan Bhullar,Orthodox,,,75.0,,,
Juan Adams,Orthodox,,,80.0,,,
Marcelo Golm,Orthodox,,,75.0,,,
Adam Wieczorek,Orthodox,,,81.0,,,
Luis Henrique,Orthodox,,,74.0,,,
KB Bhullar,Switch,,,78.0,,,
Andreas Michailidis,Orthodox,,,76.0,,,
Tom Breese,Southpaw,,,73.0,,,
Bibulatov Magomed,Orthodox,,,65.0,,,
Rogerio Bontorin,Orthodox,,,67.0,,,
Jenel Lausa,Orthodox,,,68.0,,,
David Bielkheden,Orthodox,,,71.0,,,
Mark Bocek,Orthodox,,,75.0,,,
Jess Liaudin,Orthodox,,,72.0,,,
Diego Sanchez,Southpaw,,,72.0,,,
Blake Bilder,Switch,,,68.0,,,
JeongYeong Lee,Orthodox,,,73.0,,,
Kyle Nelson,Switch,,,71.0,,,
Alexander Morgan,Orthodox,,,71.0,,,
Jonas Bilharinho,Switch,,,75.0,,,
Canaan Kawaihae,Southpaw,,,71.0,,,
Jeremiah Billington,Orthodox,,,,,,
Brian Stann,Orthodox,,,74.0,,,
Anthony Birchak,Orthodox,,,69.0,,,
Gustavo Lopez,Orthodox,,,67.0,,,
Dileno Lopes,Orthodox,,,,,,
Thomas Almeida,Southpaw,,,70.0,,,
Ian Entwistle,Orthodox,,,,,,
Chris Birchler,Switch,,,,,,
Angad Bisht,Orthodox,,,67.0,,,
DongHun Choi,Switch,,,66.0,,,
John Dave Almanza,Southpaw,,,67.0,,,
Thales Leites,Orthodox,,,78.0,,,
CB Dollaway,Orthodox,,,76.0,,,
Cung Le,Southpaw,,,70.0,,,
Tim Kennedy,Orthodox,,,74.0,,,
Jason Miller,Orthodox,,,,,,
Jorge Rivera,Orthodox,,,73.0,,,
Dan Miller,Orthodox,,,74.0,,,
Chris Leben,Southpaw,,,73.0,,,
Charles McCarthy,Orthodox,,,71.0,,,
Matt Hamill,Orthodox,,,76.0,,,
Elvis Sinosic,Orthodox,,,77.0,,,
Ross Pointon,Orthodox,,,,,,
Jakob Lovstad,Orthodox,,,,,,
Miika Mehmet,Orthodox,,,,,,
Amaury Bitetti,Orthodox,,,,,,
Alex Andrade,Orthodox,,,,,,
Don Frye,Orthodox,,,,,,
Caio Bittencourt,Orthodox,,,75.0,,,
Albert Duraev,Orthodox,,,75.0,,,
Davi Bittencourt,Orthodox,,,65.0,,,
Lucas Rocha,Orthodox,,,64.0,,,
Jan Blachowicz,Orthodox,,,78.0,,,
Bogdan Guskov,Orthodox,,,76.0,,,
Carlos Ulberg,Orthodox,,,77.0,,,
Alex Pereira,Orthodox,,,79.0,,,
Corey Anderson,Orthodox,,,79.0,,,
Jimi Manuwa,Orthodox,,,79.0,,,
Devin Clark,Orthodox,,,75.0,,,
Patrick Cummins,Orthodox,,,76.0,,,
Alexander Gustafsson,Orthodox,,,79.0,,,
Won Jin Eoh,Orthodox,,,,,,
Chad W. Saunders,Orthodox,,,,,,
Brad Blackburn,Orthodox,,,73.0,,,
DaMarques Johnson,Orthodox,,,75.0,,,
Edgar Garcia,Orthodox,,,71.0,,,
James Giboo,Orthodox,,,,,,
Jason Blackford,Orthodox,,,,,,
Jeremy Boczulak,Orthodox,,,,,,
Tom Blackledge,Orthodox,,,,,,
Sherrard Blackledge,Orthodox,,,75.0,,,
Cameron Church,Orthodox,,,72.0,,,
Cody Stamann,Orthodox,,,64.0,,,
Luan Lacerda,Orthodox,,,71.0,,,
Chasen Blair,Orthodox,,,71.0,,,
Samuel Sanches,Orthodox,,,74.0,,,
Kody Steele,Orthodox,,,71.0,,,
Erin Blanchfield,Orthodox,,,66.0,,,
Rose Namajunas,Orthodox,,,65.0,,,
Manon Fiorot,Orthodox,,,65.0,,,
Taila Santos,Orthodox,,,68.0,,,
Jessica Andrade,Orthodox,,,62.0,,,
Sarah Alpar,Southpaw,,,63.0,,,
Mike de la Torre,Orthodox,,,71.0,,,
Andy Ogle,Orthodox,,,69.0,,,
Akira Corassani,Orthodox,,,68.0,,,
Rizvan Kuniev,Orthodox,,,76.0,,,
Jailton Almeida,Orthodox,,,79.0,,,
Sergei Pavlovich,Southpaw,,,84.0,,,
Chris Daukaus,Orthodox,,,76.0,,,
Derrick Lewis,Orthodox,,,79.0,,,
Junior Dos Santos,Orthodox,,,77.0,,,
Justin Willis,Southpaw,,,78.0,,,
Aleksei Oleinik,Orthodox,,,80.0,,,
Daniel Omielanczuk,Southpaw,,,74.0,,,
Adam Milstead,Orthodox,,,76.0,,,
Cody East,Orthodox,,,,,,
Tereza Bleda,Orthodox,,,71.0,,,
Jamey-Lyn Horth,Orthodox,,,66.0,,,
Gabriella Fernandes,Southpaw,,,66.0,,,
Nayara Maia,Orthodox,,,66.0,,,
Byron Bloodworth,Orthodox,,,,,,
Dashawn Boatwright,Orthodox,,,,,,
Alonzo Menifield,Orthodox,,,76.0,,,
Dan Bobish,Southpaw,,,,,,
Gary Goodridge,Orthodox,,,,,,
Brian Johnston,Orthodox,,,,,,
John Alessio,Orthodox,,,72.0,,,
Nik Lentz,Orthodox,,,68.0,,,
Benson Henderson,Southpaw,,,70.0,,,
Dustin Hazelett,Orthodox,,,76.0,,,
Joe Brammer,Orthodox,,,,,,
Alvin Robinson,Southpaw,,,68.0,,,
Mac Danzig,Orthodox,,,70.0,,,
Doug Evans,Orthodox,,,,,,
Frankie Edgar,Orthodox,,,68.0,,,
Zabit Magomedsharipov,Orthodox,,,73.0,,,
Jeremy Kennedy,Orthodox,,,71.0,,,
James Bochnovic,Orthodox,,,81.0,,,
Markus Perez,Orthodox,,,73.0,,,
Trevin Giles,Orthodox,,,74.0,,,
Tim Boetsch,Orthodox,,,74.0,,,
Omari Akhmedov,Orthodox,,,73.0,,,
Antonio Carlos Junior,Orthodox,,,79.0,,,
Johny Hendricks,Southpaw,,,69.0,,,
Josh Samman,Orthodox,,,79.0,,,
Constantinos Philippou,Orthodox,,,73.0,,,
Hector Lombard,Southpaw,,,71.0,,,
Nick Ring,Southpaw,,,74.0,,,
Todd Brown,Orthodox,,,,,,
Michael Patt,Orthodox,,,,,,
David Heath,Orthodox,,,72.0,,,
Galore Bofando,Switch,,,72.0,,,
Charlie Ward,Orthodox,,,,,,
Roman Bogatov,Orthodox,,,73.0,,,
Leonardo Santos,Orthodox,,,75.0,,,
Jerry Bohlander,Orthodox,,,,,,
Kevin Jackson,Switch,,,,,,
Nick Sanzo,Orthodox,,,,,,
Rainy Martinez,Orthodox,,,,,,
Fabio Gurgel,Orthodox,,,,,,
Mandy Bohm,Orthodox,,,71.0,,,
Ji Yeon Kim,Orthodox,,,72.0,,,
Victoria Leonardo,Orthodox,,,64.0,,,
Ariane da Silva,Orthodox,,,67.0,,,
Kotetsu Boku,Orthodox,,,,,,
Gaston Bolanos,Orthodox,,,69.0,,,
Quang Le,Orthodox,,,70.0,,,
Cortavious Romious,Southpaw,,,68.0,,,
Marcus McGhee,Orthodox,,,69.0,,,
Aaron Phillips,Southpaw,,,71.0,,,
Denys Bondar,Orthodox,,,69.0,,,
Ronaldo Rodriguez,Orthodox,,,65.0,,,
Malcolm Gordon,Switch,,,71.0,,,
Tony Bonello,Orthodox,,,,,,
Gabriel Bonfim,Orthodox,,,72.0,,,
Stephen Thompson,Orthodox,,,75.0,,,
Nicolas Dalby,Orthodox,,,74.0,,,
Mounir Lazzez,Orthodox,,,76.0,,,
Trey Waters,Orthodox,,,77.0,,,
Ismael Bonfim,Orthodox,,,71.0,,,
Chris Padilla,Orthodox,,,74.0,,,
Nazim Sadykhov,Southpaw,,,69.0,,,
Vinc Pichel,Orthodox,,,72.0,,,
Benoit Saint Denis,Southpaw,,,73.0,,,
Terrance McKinney,Switch,,,73.0,,,
Nariman Abbasov,Orthodox,,,66.0,,,
Jesse Bongfeldt,Orthodox,,,,,,
Chris Weidman,Orthodox,,,78.0,,,
Stephan Bonnar,Orthodox,,,79.0,,,
Kyle Kingsbury,Orthodox,,,79.0,,,
Krzysztof Soszynski,Open Stance,,,77.0,,,
Mark Coleman,Orthodox,,,75.0,,,
Mike Nickels,Orthodox,,,,,,
Forrest Griffin,Orthodox,,,77.0,,,
James Irvin,Orthodox,,,75.0,,,
Sam Hoger,Orthodox,,,,,,
Brandon Royval,Southpaw,,,68.0,,,
Ray Borg,Orthodox,,,63.0,,,
Raulian Paiva,Orthodox,,,69.0,,,
Gustavo Gabriel,Orthodox,,,,,,
Gabriel Silva,Orthodox,,,71.0,,,
Louis Smolka,Orthodox,,,68.0,,,
Justin Scoggins,Southpaw,,,66.0,,,
Shane Howell,Orthodox,,,,,,
Igor Borisov,Orthodox,,,,,,
Mark Kerr,Switch,,,,,,
Kevin Borjas,Orthodox,,,68.0,,,
Sumudaerji,Southpaw,,,72.0,,,
Alessandro Costa,Orthodox,,,67.0,,,
Joshua Van,Orthodox,,,65.0,,,
Victor Dias,Orthodox,,,69.0,,,
Caio Borralho,Southpaw,,,75.0,,,
Nassourdine Imavov,Orthodox,,,75.0,,,
Abus Magomedov,Orthodox,,,78.0,,,
Armen Petrosyan,Orthodox,,,71.0,,,
Gadzhi Omargadzhiev,Switch,,,71.0,,,
Jesse Murray,Orthodox,,,78.0,,,
Aaron Jeffery,Orthodox,,,73.0,,,
Zachary Borrego,Switch,,,78.0,,,
Viacheslav Borshchev,Orthodox,,,69.0,,,
Matheus Camilo,Orthodox,,,69.0,,,
Tom Nolan,Southpaw,,,73.0,,,
James Llontop,Orthodox,,,73.0,,,
Mike Davis,Orthodox,,,72.0,,,
Marc Diakiese,Orthodox,,,73.0,,,
Dakota Bush,Orthodox,,,73.0,,,
Aleksa Camur,Orthodox,,,74.0,,,
Raphael Pessoa,Orthodox,,,78.0,,,
Ciryl Gane,Orthodox,,,81.0,,,
Daniel Spitz,Orthodox,,,82.0,,,
Steve Bosse,Orthodox,,,72.0,,,
Sean O'Connell,Orthodox,,,74.0,,,
Marcus Bossett,Orthodox,,,,,,
Steve Nelmark,Orthodox,,,,,,
Dan Severn,Southpaw,,,,,,
Eldo Xavier Dias,Orthodox,,,,,,
Chris Bostick,Orthodox,,,,,,
Jorge Interiano,Orthodox,,,,,,
Poliana Botelho,Orthodox,,,67.0,,,
Luana Carolina,Orthodox,,,69.0,,,
Lauren Mueller,Orthodox,,,67.0,,,
Cynthia Calvillo,Orthodox,,,64.0,,,
Syuri Kondo,Orthodox,,,66.0,,,
Pearl Gonzalez,Orthodox,,,,,,
Francois Botha,Orthodox,,,,,,
Ilian Bouafia,Southpaw,,,78.0,,,
Neemias Santana,Orthodox,,,76.0,,,
Gregory Bouchelaghem,Switch,,,,,,
Paulo Filho,Southpaw,,,,,,
Rich Bouphanouvong,Orthodox,,,,,,
Michael Chandler,Orthodox,,,71.0,,,
Mike Bourke,Orthodox,,,,,,
