name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Billy Elekana,Southpaw,,,77.0,,,
Rafael Cerqueira,Southpaw,,,76.0,,,
Anton Turkalj,Orthodox,,,78.0,,,
Paulo Renato Junior,Orthodox,,,73.0,,,
Curtis Blaydes,Orthodox,,,80.0,,,
Alexander Volkov,Orthodox,,,80.0,,,
Serghei Spivac,Orthodox,,,78.0,,,
Alan Baudot,Orthodox,,,79.0,,,
Steven Asplund,Orthodox,,,78.0,,,
Sean Sharaf,Orthodox,,,77.0,,,
Anthony Guarascio,Orthodox,,,72.0,,,
Bruno Assis,Orthodox,,,,,,
Junior Assuncao,Orthodox,,,72.0,,,
Ross Pearson,Orthodox,,,69.0,,,
Eddie Yagin,Orthodox,,,,,,
Nate Diaz,Southpaw,,,76.0,,,
David Lee,Orthodox,,,,,,
Kurt Pellegrino,Orthodox,,,70.0,,,
Raphael Assuncao,Orthodox,,,66.0,,,
Davey Grant,Orthodox,,,69.0,,,
Victor Henry,Switch,,,68.0,,,
Ricky Simon,Orthodox,,,69.0,,,
Cody Garbrandt,Orthodox,,,65.0,,,
Marlon Moraes,Orthodox,,,67.0,,,
Rob Font,Orthodox,,,71.0,,,
Matthew Lopez,Southpaw,,,69.0,,,
Aljamain Sterling,Orthodox,,,71.0,,,
TJ Dillashaw,Orthodox,,,67.0,,,
Bryan Caraway,Orthodox,,,68.0,,,
Pedro Munhoz,Orthodox,,,65.0,,,
Vaughan Lee,Orthodox,,,66.0,,,
Mike Easton,Southpaw,,,70.0,,,
Issei Tamura,Orthodox,,,63.0,,,
Johnny Eduardo,Orthodox,,,71.0,,,
Erik Koch,Southpaw,,,71.0,,,
LC Davis,Southpaw,,,69.0,,,
Diego Nunes,Orthodox,,,67.0,,,
Urijah Faber,Orthodox,,,67.0,,,
Jameel Massouh,Orthodox,,,72.0,,,
Michael Aswell Jr.,Orthodox,,,69.0,,,
Lucas Almeida,Orthodox,,,71.0,,,
Bolaji Oki,Orthodox,,,73.0,,,
Bogdan Grad,Orthodox,,,70.0,,,
Bazigit Atajev,Orthodox,,,,,,
Rich Attonito,Orthodox,,,72.0,,,
Jake Hecht,Orthodox,,,73.0,,,
Daniel Roberts,Southpaw,,,74.0,,,
