fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url
55,DREAM 8: Welterweight Grand Prix 2009 1st Round,2009-04-05,,Shinya Aoki,Hayato Sakurai,Hayato Sakurai,Unknown,KO/TKO Punches,1.0,0:27,3,0,
56,DREAM 7: Featherweight Grand Prix 2009 1st Round,2009-03-08,,Shinya Aoki,David Gardner,Shinya Aoki,Unknown,SUB Rear Naked Choke,1.0,5:58,3,0,
57,Dynamite!! 2008,2008-12-31,,Shinya Aoki,Eddie Alvarez,Shinya Aoki,Unknown,SUB Heel Hook,1.0,1:32,3,0,
58,DREAM 6: Middleweight Grand Prix 2008 Final Round,2008-09-23,,Shinya Aoki,Todd Moore,Shinya Aoki,Unknown,SUB Neck Crank,1.0,1:10,3,0,
59,DREAM 5: Lightweight Grand Prix 2008 Final Round,2008-07-21,,Shinya Aoki,Caol Uno,Shinya Aoki,Unknown,U-DEC,2.0,5:00,3,0,
60,DREAM 4: Middleweight Grand Prix 2008 2nd Round,2008-06-15,,Shinya Aoki,Katsuhiko Nagata,Shinya Aoki,Unknown,SUB Gogo Plata,1.0,5:12,3,0,
61,DREAM 2: Middleweight Grand Prix 2008 1st Round,2008-04-29,,Shinya Aoki,Gesias Cavalcante,Shinya Aoki,Unknown,U-DEC,2.0,5:00,3,0,
62,DREAM 1: Lightweight Grand Prix 2008 1st Round,2008-03-15,,Shinya Aoki,Gesias Cavalcante,,Unknown,CNC,1.0,3:46,3,0,
63,Yarrenoka! - New Year's Eve 2007,2007-12-31,,Shinya Aoki,Bu-Kyung Jung,Shinya Aoki,Unknown,U-DEC,2.0,5:00,3,0,
64,PRIDE 34: Kamikaze,2007-04-08,,Shinya Aoki,Brian Lo-A-Njoe,Shinya Aoki,Unknown,SUB Armbar,1.0,1:33,3,0,
65,Shooto - Back to Our Roots 1,2007-02-17,,Shinya Aoki,Akira Kikuchi,Shinya Aoki,Unknown,S-DEC,3.0,5:00,3,0,
66,PRIDE Shockwave 2006,2006-12-31,,Shinya Aoki,Joachim Hansen,Shinya Aoki,Unknown,SUB Gogo Plata,1.0,2:24,3,0,
67,PRIDE Bushido 13,2006-11-05,,Shinya Aoki,Clay French,Shinya Aoki,Unknown,SUB Triangle Choke,1.0,3:57,3,0,
68,Shooto - Champion Carnival,2006-10-14,,Shinya Aoki,George Sotiropoulos,Shinya Aoki,Unknown,DQ,2.0,0:05,3,0,
69,PRIDE Bushido 12,2006-08-27,,Shinya Aoki,Jason Black,Shinya Aoki,Unknown,SUB Triangle Choke,1.0,1:58,3,0,
70,Shooto 2005 11/6,2005-11-06,,Shinya Aoki,Kuniyoshi Hironaka,Shinya Aoki,Unknown,KO/TKO,1.0,2:10,3,0,
71,Shooto 2005 1/29,2005-01-29,,Shinya Aoki,Keith Wisniewski,Shinya Aoki,Unknown,SUB Other - Lock,1.0,2:22,3,0,
72,DEEP 16,2004-10-30,,Shinya Aoki,Jutaro Nakao,Jutaro Nakao,Unknown,KO/TKO Punch,1.0,4:29,3,0,
73,UFC Fight Night: De Ridder vs. Allen,2025-10-18,,Aoriqileng,Cody Gibson,Aoriqileng,Unknown,KO/TKO Punch,1.0,0:21,3,0,
74,UFC 306: Riyadh Season Noche UFC,2024-09-14,,Aoriqileng,Raul Rosas Jr.,Raul Rosas Jr.,Unknown,U-DEC,3.0,5:00,3,0,
75,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,,Aoriqileng,Daniel Marcos,,Unknown,CNC,2.0,3:28,3,0,
76,UFC Fight Night: Dawson vs. Green,2023-10-07,,Aoriqileng,Johnny Munoz,Aoriqileng,Unknown,U-DEC,3.0,5:00,3,0,
77,UFC 289: Nunes vs. Aldana,2023-06-10,,Aoriqileng,Aiemann Zahabi,Aiemann Zahabi,Unknown,KO/TKO Punch,1.0,1:04,3,0,
78,UFC 278: Usman vs. Edwards,2022-08-20,,Aoriqileng,Jay Perrin,Aoriqileng,Unknown,U-DEC,3.0,5:00,3,0,
79,UFC Fight Night: Lemos vs. Andrade,2022-04-23,,Aoriqileng,Cameron Else,Aoriqileng,Unknown,KO/TKO Punches,1.0,2:48,3,0,
80,UFC Fight Night: Vieira vs. Tate,2021-11-20,,Aoriqileng,Cody Durden,Cody Durden,Unknown,U-DEC,3.0,5:00,3,0,
81,UFC 261: Usman vs. Masvidal 2,2021-04-24,,Aoriqileng,Jeff Molina,Jeff Molina,Unknown,U-DEC,3.0,5:00,3,0,
82,DWCS 2.6,2018-07-24,,Josh Appelt,Jeff Hughes,Jeff Hughes,Unknown,KO/TKO Punch,1.0,4:26,3,0,
83,Strikeforce Challengers 14,2011-02-18,,Erik Apple,Ryan Larson,Ryan Larson,Unknown,SUB Triangle Choke,2.0,3:14,3,0,
84,Strikeforce Challengers 5,2009-11-20,,Erik Apple,Bobby Voelker,Bobby Voelker,Unknown,KO/TKO Punches,2.0,1:23,3,0,
85,WEC 26: Condit vs. Alessio,2007-03-24,,Erik Apple,Brock Larson,Brock Larson,Unknown,SUB Kimura,1.0,3:43,3,0,
86,PRIDE Bushido 10,2006-04-02,,Kenji Arai,Jens Pulver,Jens Pulver,Unknown,KO/TKO Kick,1.0,3:59,3,0,
87,UFC 42: Sudden Impact,2003-04-25,,Romie Aram,Dave Strasser,Dave Strasser,Unknown,U-DEC,3.0,5:00,3,0,
88,KOTC 17: San Jacinto,2002-10-19,,Romie Aram,Joe Stevenson,Romie Aram,Unknown,U-DEC,3.0,5:00,3,0,
89,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,,Felipe Arantes,Song Yadong,Song Yadong,Unknown,KO/TKO Elbow,2.0,4:59,3,0,
90,UFC Fight Night: Cerrone vs. Till,2017-10-21,,Felipe Arantes,Josh Emmett,Josh Emmett,Unknown,U-DEC,3.0,5:00,3,0,
91,UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,,Felipe Arantes,Erik Perez,Erik Perez,Unknown,S-DEC,3.0,5:00,3,0,
92,UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,,Felipe Arantes,Jerrod Sanders,Felipe Arantes,Unknown,SUB Armbar,2.0,1:39,3,0,
93,UFC Fight Night: Holloway vs Oliveira,2015-08-23,,Felipe Arantes,Yves Jabouin,Felipe Arantes,Unknown,SUB Armbar,1.0,4:21,3,0,
94,UFC 179: Aldo vs Mendes 2,2014-10-25,,Felipe Arantes,Andre Fili,Andre Fili,Unknown,U-DEC,3.0,5:00,3,0,
95,UFC Fight Night: Machida vs Mousasi,2014-02-15,,Felipe Arantes,Maximo Blanco,Felipe Arantes,Unknown,U-DEC,3.0,5:00,3,0,
96,UFC Fight Night: Teixeira vs Bader,2013-09-04,,Felipe Arantes,Edimilson Souza,Edimilson Souza,Unknown,S-DEC,3.0,5:00,3,0,
97,UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,,Felipe Arantes,Godofredo Pepey,Felipe Arantes,Unknown,KO/TKO Elbows,1.0,3:32,3,0,
98,UFC 147: Silva vs Franklin 2,2012-06-23,,Felipe Arantes,Milton Vieira,,Unknown,S-DEC,3.0,5:00,3,0,
99,UFC 142: Aldo vs Mendes,2012-01-14,,Felipe Arantes,Antonio Carvalho,Felipe Arantes,Unknown,U-DEC,3.0,5:00,3,0,
100,UFC 134: Silva vs Okami,2011-08-27,,Felipe Arantes,Iuri Alcantara,Iuri Alcantara,Unknown,U-DEC,3.0,5:00,3,0,
101,UFC Fight Night: Mir vs Duffee,2015-07-15,,Igor Araujo,Sean Strickland,Sean Strickland,Unknown,U-DEC,3.0,5:00,3,0,
102,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13,,Igor Araujo,George Sullivan,George Sullivan,Unknown,KO/TKO Punch,2.0,2:31,3,0,
103,UFC Fight Night: Gustafsson vs Manuwa,2014-03-08,,Igor Araujo,Danny Mitchell,Igor Araujo,Unknown,U-DEC,3.0,5:00,3,0,
104,UFC Fight Night: Maia vs Shields,2013-10-09,,Igor Araujo,Ildemar Alcantara,Igor Araujo,Unknown,U-DEC,3.0,5:00,3,0,
105,UFC 317: Topuria vs. Oliveira,2025-06-28,,Viviane Araujo,Tracy Cortez,Tracy Cortez,Unknown,U-DEC,3.0,5:00,3,0,
106,UFC 309: Jones vs. Miocic,2024-11-16,,Viviane Araujo,Karine Silva,Viviane Araujo,Unknown,U-DEC,3.0,5:00,3,0,
107,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,,Viviane Araujo,Natalia Silva,Natalia Silva,Unknown,U-DEC,3.0,5:00,3,0,
108,UFC Fight Night: Yusuff vs. Barboza,2023-10-14,,Viviane Araujo,Jennifer Maia,Viviane Araujo,Unknown,U-DEC,3.0,5:00,3,0,
109,UFC 285: Jones vs. Gane,2023-03-04,,Viviane Araujo,Amanda Ribas,Amanda Ribas,Unknown,U-DEC,3.0,5:00,3,0,
110,UFC Fight Night: Grasso vs. Araujo,2022-10-15,,Viviane Araujo,Alexa Grasso,Alexa Grasso,Unknown,U-DEC,5.0,5:00,3,0,
111,UFC Fight Night: Blachowicz vs. Rakic,2022-05-14,,Viviane Araujo,Andrea Lee,Viviane Araujo,Unknown,U-DEC,3.0,5:00,3,0,
112,UFC 262: Oliveira vs. Chandler,2021-05-15,,Viviane Araujo,Katlyn Cerminara,Katlyn Cerminara,Unknown,U-DEC,3.0,5:00,3,0,
113,UFC Fight Night: Chiesa vs. Magny,2021-01-20,,Viviane Araujo,Roxanne Modafferi,Viviane Araujo,Unknown,U-DEC,3.0,5:00,3,0,
114,UFC Fight Night: Overeem vs. Sakai,2020-09-05,,Viviane Araujo,Montana De La Rosa,Viviane Araujo,Unknown,U-DEC,3.0,5:00,3,0,
115,UFC 245: Usman vs. Covington,2019-12-14,,Viviane Araujo,Jessica Eye,Jessica Eye,Unknown,U-DEC,3.0,5:00,3,0,
116,UFC 240: Holloway vs. Edgar,2019-07-27,,Viviane Araujo,Alexis Davis,Viviane Araujo,Unknown,U-DEC,3.0,5:00,3,0,
117,UFC 237: Namajunas vs. Andrade,2019-05-11,,Viviane Araujo,Talita Bernardo,Viviane Araujo,Unknown,KO/TKO Punch,3.0,0:48,3,0,
118,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,,Julio Arce,Herbert Burns,Julio Arce,Unknown,KO/TKO Punch,2.0,2:00,3,0,
119,UFC 281: Adesanya vs. Pereira,2022-11-12,,Julio Arce,Montel Jackson,Montel Jackson,Unknown,U-DEC,3.0,5:00,3,0,
120,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,,Julio Arce,Daniel Santos,Julio Arce,Unknown,U-DEC,3.0,5:00,3,0,
121,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,,Julio Arce,Song Yadong,Song Yadong,Unknown,KO/TKO Punches,2.0,1:35,3,0,
122,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24,,Julio Arce,Andre Ewell,Julio Arce,Unknown,KO/TKO Punches,2.0,3:45,3,0,
123,UFC 244: Masvidal vs. Diaz,2019-11-02,,Julio Arce,Hakeem Dawodu,Hakeem Dawodu,Unknown,S-DEC,3.0,5:00,3,0,
124,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18,,Julio Arce,Julian Erosa,Julio Arce,Unknown,KO/TKO Kick,3.0,1:49,3,0,
125,UFC 230: Cormier vs. Lewis,2018-11-03,,Julio Arce,Sheymon Moraes,Sheymon Moraes,Unknown,S-DEC,3.0,5:00,3,0,
126,UFC Fight Night: Rivera vs. Moraes,2018-06-01,,Julio Arce,Daniel Teymur,Julio Arce,Unknown,SUB Rear Naked Choke,3.0,2:55,3,0,
127,UFC 220: Miocic vs. Ngannou,2018-01-20,,Julio Arce,Dan Ige,Julio Arce,Unknown,U-DEC,3.0,5:00,3,0,
128,DWCS 1.5,2017-08-08,,Julio Arce,Peter Petties,Julio Arce,Unknown,KO/TKO Punches,2.0,2:39,3,0,
129,UFC Fight Night: Garcia vs. Onama,2025-11-01,,Alice Ardelean,Montserrat Conejo Ruiz,Alice Ardelean,Unknown,U-DEC,3.0,5:00,3,0,
130,UFC Fight Night: Blanchfield vs. Barber,2025-05-31,,Alice Ardelean,Rayanne dos Santos,Alice Ardelean,Unknown,U-DEC,3.0,5:00,3,0,
131,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,,Alice Ardelean,Melissa Martinez,Melissa Martinez,Unknown,U-DEC,3.0,5:00,3,0,
132,UFC 304: Edwards vs. Muhammad 2,2024-07-27,,Alice Ardelean,Shauna Bannon,Shauna Bannon,Unknown,S-DEC,3.0,5:00,3,0,
133,Strikeforce Challengers 15,2011-04-01,,Tristan Arenal,Tommy Petersen,Tristan Arenal,Unknown,SUB Armbar,1.0,1:58,3,0,
134,UFC Fight Night: Royval vs. Taira,2024-10-12,,Dan Argueta,Cody Haddon,Cody Haddon,Unknown,U-DEC,3.0,5:00,3,0,
