name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url,nickname,weight_class
Rony Jason,Orthodox,67.0,145.0,73.0,,,,No Nickname,Featherweight
Jimy Hettes,Southpaw,69.0,145.0,71.0,,,,The Kid,Featherweight
Steven Siler,Orthodox,71.0,145.0,70.0,,,,Super,Featherweight
Max Holloway,Orthodox,71.0,145.0,69.0,,,,Blessed,Lightweight
Matt Grice,Orthodox,68.0,145.0,70.0,,,,The Real One,Featherweight
Tommy Hayden,Southpaw,69.0,145.0,,,,,Wild Card,Featherweight
Pablo Garza,Orthodox,73.0,145.0,73.0,,,,The Scarecrow,Featherweight
Manny Bermudez,Orthodox,61.0,145.0,71.0,,,,The Bermudez Triangle,Bantamweight
Charles Rosa,Switch,69.0,145.0,69.0,,,,Boston Strong,Featherweight
Albert Morales,Orthodox,69.0,135.0,72.0,,,,The Warrior,Bantamweight
Sarah Moras,Orthodox,67.0,135.0,67.0,,,,Cheesecake,Women's Bantamweight
Irene Aldana,Orthodox,69.0,135.0,68.0,,,,No Nickname,Women's Bantamweight
Marion Reneau,Orthodox,66.0,135.0,68.0,,,,The Belizean Bruiser,Women's Bantamweight
Dave Berry,Orthodox,,,,,,,No Nickname,
Roberto Traven,Orthodox,75.0,227.0,,,,,Spider,Heavyweight
Keith Berry,Orthodox,73.0,185.0,,,,,No Nickname,
Adlan Amagov,Orthodox,74.0,170.0,76.0,,,,Borz,Welterweight
Trevor Smith,Orthodox,75.0,185.0,75.0,,,,Hot Sauce,Middleweight
Dieusel Berto,Orthodox,69.0,200.0,,,,,No Nickname,Open Weight
Geza Kalman,Orthodox,73.0,200.0,,,,,No Nickname,Open Weight
Edson Berto,Orthodox,66.0,155.0,,,,,Little Tiger,
Victor Valenzuela,Orthodox,61.0,155.0,71.0,,,,Joe Boxer,
Allen Berube,Orthodox,68.0,155.0,,,,,Monstah Lobstah,Lightweight
Leonard Garcia,Orthodox,61.0,145.0,68.0,,,,Bad Boy,Featherweight
Anton Berzin,Orthodox,74.0,205.0,,,,,The Body Snatcher,
Scott Bessac,Orthodox,76.0,245.0,,,,,No Nickname,Open Weight
David Hood,Orthodox,72.0,200.0,,,,,No Nickname,Open Weight
Steven Peterson,Orthodox,61.0,145.0,70.0,,,,Ocho,Featherweight
Khadzhi Bestaev,Orthodox,78.0,185.0,76.0,,,,Best,
Phil Hawes,Orthodox,72.0,185.0,77.0,,,,No Hype,Middleweight
Fernando Bettega,Orthodox,,170.0,,,,,No Nickname,
Wayne Phillips,Orthodox,,185.0,,,,,No Nickname,
Arjan Bhullar,Orthodox,73.0,245.0,75.0,,,,No Nickname,Heavyweight
Juan Adams,Orthodox,77.0,265.0,80.0,,,,The Kraken,Heavyweight
Marcelo Golm,Orthodox,75.0,249.0,75.0,,,,No Nickname,Heavyweight
Adam Wieczorek,Orthodox,77.0,250.0,81.0,,,,Siwy,Heavyweight
Luis Henrique,Orthodox,74.0,243.0,74.0,,,,KLB,Heavyweight
KB Bhullar,Switch,76.0,185.0,78.0,,,,The Bengal,Middleweight
Andreas Michailidis,Orthodox,72.0,170.0,76.0,,,,The Spartan,Middleweight
Tom Breese,Southpaw,75.0,185.0,73.0,,,,No Nickname,Middleweight
Bibulatov Magomed,Orthodox,65.0,125.0,65.0,,,,Chaborz,Flyweight
Rogerio Bontorin,Orthodox,65.0,125.0,67.0,,,,No Nickname,Flyweight
Jenel Lausa,Orthodox,65.0,125.0,68.0,,,,No Nickname,Flyweight
David Bielkheden,Orthodox,61.0,155.0,71.0,,,,No Nickname,Lightweight
Mark Bocek,Orthodox,68.0,155.0,75.0,,,,No Nickname,Lightweight
Jess Liaudin,Orthodox,69.0,170.0,72.0,,,,The Joker,Welterweight
Diego Sanchez,Southpaw,61.0,170.0,72.0,,,,Nightmare,Welterweight
Blake Bilder,Switch,68.0,145.0,68.0,,,,El Animal,Featherweight
JeongYeong Lee,Orthodox,61.0,145.0,73.0,,,,Korean Tiger,Featherweight
Kyle Nelson,Switch,71.0,155.0,71.0,,,,The Monster,Lightweight
Alexander Morgan,Orthodox,61.0,145.0,71.0,,,,The Chess Master,
Jonas Bilharinho,Switch,71.0,145.0,75.0,,,,No Nickname,
Canaan Kawaihae,Southpaw,72.0,145.0,71.0,,,,No Nickname,
Jeremiah Billington,Orthodox,69.0,205.0,,,,,No Nickname,
Brian Stann,Orthodox,73.0,205.0,74.0,,,,All American,Middleweight
Anthony Birchak,Orthodox,68.0,135.0,69.0,,,,El Toro,Bantamweight
Gustavo Lopez,Orthodox,65.0,135.0,67.0,,,,No Nickname,Bantamweight
Dileno Lopes,Orthodox,65.0,135.0,,,,,No Nickname,Bantamweight
Thomas Almeida,Southpaw,67.0,145.0,70.0,,,,Thominhas,Bantamweight
Ian Entwistle,Orthodox,65.0,135.0,,,,,Enty,Bantamweight
Chris Birchler,Switch,75.0,205.0,,,,,The Big Buck,
Angad Bisht,Orthodox,67.0,125.0,67.0,,,,No Nickname,
DongHun Choi,Switch,65.0,125.0,66.0,,,,No Nickname,Flyweight
John Dave Almanza,Southpaw,67.0,125.0,67.0,,,,The Striker,
Thales Leites,Orthodox,73.0,185.0,78.0,,,,No Nickname,Middleweight
CB Dollaway,Orthodox,74.0,185.0,76.0,,,,The Doberman,Middleweight
Cung Le,Southpaw,69.0,185.0,70.0,,,,No Nickname,Middleweight
Tim Kennedy,Orthodox,71.0,185.0,74.0,,,,No Nickname,Middleweight
Jason Miller,Orthodox,73.0,185.0,,,,,Mayhem,Middleweight
Jorge Rivera,Orthodox,73.0,185.0,73.0,,,,El Conquistador,Middleweight
Dan Miller,Orthodox,73.0,185.0,74.0,,,,No Nickname,Welterweight
Chris Leben,Southpaw,71.0,185.0,73.0,,,,The Crippler,Middleweight
Charles McCarthy,Orthodox,61.0,185.0,71.0,,,,Chainsaw,Middleweight
Matt Hamill,Orthodox,73.0,205.0,76.0,,,,The Hammer,Light Heavyweight
Elvis Sinosic,Orthodox,75.0,205.0,77.0,,,,The King of Rock n' Rumble,Middleweight
Ross Pointon,Orthodox,68.0,170.0,,,,,The Gladiator,Welterweight
Jakob Lovstad,Orthodox,75.0,205.0,,,,,The Striking Viking,
Miika Mehmet,Orthodox,,205.0,,,,,No Nickname,
Amaury Bitetti,Orthodox,69.0,185.0,,,,,No Nickname,Middleweight
Alex Andrade,Orthodox,71.0,200.0,,,,,El Toro,Middleweight
Don Frye,Orthodox,73.0,219.0,,,,,The Predator,Open Weight
Caio Bittencourt,Orthodox,72.0,185.0,75.0,,,,Leao,
Albert Duraev,Orthodox,71.0,185.0,75.0,,,,No Nickname,Middleweight
Davi Bittencourt,Orthodox,65.0,135.0,65.0,,,,The Black,
Lucas Rocha,Orthodox,63.0,125.0,64.0,,,,Fenomeno,Flyweight
Jan Blachowicz,Orthodox,74.0,205.0,78.0,,,,No Nickname,Light Heavyweight
Bogdan Guskov,Orthodox,75.0,205.0,76.0,,,,Czarevitch,Light Heavyweight
Carlos Ulberg,Orthodox,76.0,205.0,77.0,,,,Black Jag,Light Heavyweight
Alex Pereira,Orthodox,76.0,205.0,79.0,,,,Poatan,Light Heavyweight
Corey Anderson,Orthodox,75.0,205.0,79.0,,,,Overtime,Light Heavyweight
Jimi Manuwa,Orthodox,73.0,205.0,79.0,,,,Poster Boy,Light Heavyweight
Devin Clark,Orthodox,72.0,205.0,75.0,,,,Brown Bear,Light Heavyweight
Patrick Cummins,Orthodox,74.0,205.0,76.0,,,,Durkin,Light Heavyweight
Alexander Gustafsson,Orthodox,77.0,205.0,79.0,,,,The Mauler,Light Heavyweight
Won Jin Eoh,Orthodox,67.0,160.0,,,,,No Nickname,
Chad W. Saunders,Orthodox,61.0,170.0,,,,,No Nickname,
Brad Blackburn,Orthodox,61.0,170.0,73.0,,,,Bad Brad,Welterweight
DaMarques Johnson,Orthodox,73.0,170.0,75.0,,,,Darkness,Welterweight
Edgar Garcia,Orthodox,61.0,170.0,71.0,,,,No Nickname,Welterweight
James Giboo,Orthodox,71.0,170.0,,,,,No Nickname,Welterweight
Jason Blackford,Orthodox,,,,,,,No Nickname,
Jeremy Boczulak,Orthodox,,,,,,,No Nickname,
Tom Blackledge,Orthodox,,205.0,,,,,No Nickname,
Sherrard Blackledge,Orthodox,71.0,155.0,75.0,,,,The Thriller,
Cameron Church,Orthodox,71.0,155.0,72.0,,,,No Nickname,
Cody Stamann,Orthodox,66.0,135.0,64.0,,,,The Spartan,Bantamweight
Luan Lacerda,Orthodox,67.0,135.0,71.0,,,,No Nickname,Bantamweight
Chasen Blair,Orthodox,61.0,155.0,71.0,,,,Mestizo,
Samuel Sanches,Orthodox,61.0,155.0,74.0,,,,The Prodigy,
Kody Steele,Orthodox,69.0,155.0,71.0,,,,No Nickname,Lightweight
Erin Blanchfield,Orthodox,64.0,125.0,66.0,,,,Cold Blooded,Women's Flyweight
Rose Namajunas,Orthodox,65.0,125.0,65.0,,,,Thug,Women's Flyweight
Manon Fiorot,Orthodox,67.0,125.0,65.0,,,,The Beast,Women's Flyweight
Taila Santos,Orthodox,66.0,125.0,68.0,,,,No Nickname,Women's Flyweight
Jessica Andrade,Orthodox,61.0,115.0,62.0,,,,Bate Estaca,Women's Strawweight
Sarah Alpar,Southpaw,64.0,135.0,63.0,,,,Too Sweet,Women's Flyweight
Mike de la Torre,Orthodox,71.0,145.0,71.0,,,,El Cucuy,Featherweight
Andy Ogle,Orthodox,68.0,145.0,69.0,,,,The Little Axe,Featherweight
Akira Corassani,Orthodox,68.0,145.0,68.0,,,,No Nickname,Featherweight
Rizvan Kuniev,Orthodox,76.0,240.0,76.0,,,,No Nickname,Heavyweight
Jailton Almeida,Orthodox,75.0,237.0,79.0,,,,Malhadinho,Heavyweight
Sergei Pavlovich,Southpaw,75.0,257.0,84.0,,,,No Nickname,Heavyweight
Chris Daukaus,Orthodox,75.0,205.0,76.0,,,,No Nickname,Heavyweight
Derrick Lewis,Orthodox,75.0,260.0,79.0,,,,The Black Beast,Heavyweight
Junior Dos Santos,Orthodox,76.0,238.0,77.0,,,,Cigano,Heavyweight
Justin Willis,Southpaw,73.0,264.0,78.0,,,,Big Pretty,Heavyweight
Aleksei Oleinik,Orthodox,74.0,240.0,80.0,,,,The Boa Constrictor,Heavyweight
Daniel Omielanczuk,Southpaw,72.0,247.0,74.0,,,,No Nickname,Heavyweight
Adam Milstead,Orthodox,75.0,205.0,76.0,,,,The Prototype,Heavyweight
Cody East,Orthodox,75.0,245.0,,,,,The Freight Train,Heavyweight
Tereza Bleda,Orthodox,69.0,125.0,71.0,,,,No Nickname,Women's Flyweight
Jamey-Lyn Horth,Orthodox,67.0,125.0,66.0,,,,No Nickname,Women's Flyweight
Gabriella Fernandes,Southpaw,66.0,125.0,66.0,,,,Gabi,Women's Flyweight
Nayara Maia,Orthodox,65.0,125.0,66.0,,,,Capita,
Byron Bloodworth,Orthodox,68.0,135.0,,,,,No Nickname,Bantamweight
Dashawn Boatwright,Orthodox,72.0,205.0,,,,,"Buck, the 400-pound Silverback",
Alonzo Menifield,Orthodox,72.0,205.0,76.0,,,,Atomic,Light Heavyweight
Dan Bobish,Southpaw,74.0,345.0,,,,,No Nickname,Heavyweight
Gary Goodridge,Orthodox,75.0,249.0,,,,,Big Daddy,Heavyweight
Brian Johnston,Orthodox,75.0,230.0,,,,,No Nickname,Open Weight
John Alessio,Orthodox,61.0,155.0,72.0,,,,The Natural,Lightweight
Nik Lentz,Orthodox,68.0,145.0,68.0,,,,The Carny,Lightweight
Benson Henderson,Southpaw,69.0,170.0,70.0,,,,Smooth,Welterweight
Dustin Hazelett,Orthodox,73.0,170.0,76.0,,,,McLovin,Welterweight
Joe Brammer,Orthodox,68.0,155.0,,,,,The South Side Strangler,Lightweight
Alvin Robinson,Southpaw,69.0,155.0,68.0,,,,No Nickname,Lightweight
Mac Danzig,Orthodox,68.0,155.0,70.0,,,,No Nickname,Lightweight
Doug Evans,Orthodox,69.0,155.0,,,,,No Nickname,Lightweight
Frankie Edgar,Orthodox,66.0,135.0,68.0,,,,The Answer,Bantamweight
Zabit Magomedsharipov,Orthodox,73.0,145.0,73.0,,,,No Nickname,Featherweight
Jeremy Kennedy,Orthodox,71.0,145.0,71.0,,,,JBC,Featherweight
James Bochnovic,Orthodox,76.0,205.0,81.0,,,,No Nickname,Middleweight
Markus Perez,Orthodox,73.0,185.0,73.0,,,,Maluko,Middleweight
Trevin Giles,Orthodox,72.0,170.0,74.0,,,,No Nickname,Welterweight
Tim Boetsch,Orthodox,72.0,185.0,74.0,,,,The Barbarian,Middleweight
Omari Akhmedov,Orthodox,72.0,185.0,73.0,,,,Wolverine,Middleweight
Antonio Carlos Junior,Orthodox,74.0,185.0,79.0,,,,Cara de Sapato,Middleweight
Johny Hendricks,Southpaw,69.0,185.0,69.0,,,,Bigg Rigg,Middleweight
Josh Samman,Orthodox,75.0,185.0,79.0,,,,Anqa,Middleweight
Constantinos Philippou,Orthodox,71.0,185.0,73.0,,,,No Nickname,Middleweight
Hector Lombard,Southpaw,69.0,185.0,71.0,,,,No Nickname,Welterweight
Nick Ring,Southpaw,72.0,185.0,74.0,,,,The Promise,Middleweight
Todd Brown,Orthodox,71.0,205.0,,,,,Bulldog,Light Heavyweight
Michael Patt,Orthodox,72.0,205.0,,,,,No Nickname,Light Heavyweight
David Heath,Orthodox,71.0,205.0,72.0,,,,No Nickname,Light Heavyweight
Galore Bofando,Switch,71.0,170.0,72.0,,,,No Nickname,Welterweight
Charlie Ward,Orthodox,71.0,170.0,,,,,No Nickname,Welterweight
Roman Bogatov,Orthodox,68.0,155.0,73.0,,,,No Nickname,Lightweight
Leonardo Santos,Orthodox,72.0,155.0,75.0,,,,No Nickname,Lightweight
Jerry Bohlander,Orthodox,71.0,199.0,,,,,No Nickname,Middleweight
Kevin Jackson,Switch,61.0,199.0,,,,,No Nickname,Lightweight
Nick Sanzo,Orthodox,69.0,190.0,,,,,No Nickname,Lightweight
Rainy Martinez,Orthodox,72.0,199.0,,,,,No Nickname,Lightweight
Fabio Gurgel,Orthodox,72.0,205.0,,,,,No Nickname,Open Weight
Mandy Bohm,Orthodox,67.0,125.0,71.0,,,,Monster,Women's Flyweight
Ji Yeon Kim,Orthodox,67.0,125.0,72.0,,,,Firefist,Women's Flyweight
Victoria Leonardo,Orthodox,65.0,125.0,64.0,,,,Fury,Women's Flyweight
Ariane da Silva,Orthodox,66.0,125.0,67.0,,,,Queen of Violence,Women's Flyweight
Kotetsu Boku,Orthodox,69.0,154.0,,,,,No Nickname,
Gaston Bolanos,Orthodox,67.0,135.0,69.0,,,,The Dreamkiller,Bantamweight
Quang Le,Orthodox,67.0,135.0,70.0,,,,Bang,Bantamweight
Cortavious Romious,Southpaw,64.0,135.0,68.0,,,,No Nickname,Bantamweight
Marcus McGhee,Orthodox,68.0,135.0,69.0,,,,The Maniac,Bantamweight
Aaron Phillips,Southpaw,69.0,135.0,71.0,,,,The Dragon,Bantamweight
Denys Bondar,Orthodox,66.0,125.0,69.0,,,,Psycho,Flyweight
Ronaldo Rodriguez,Orthodox,66.0,125.0,65.0,,,,Lazy Boy,Flyweight
Malcolm Gordon,Switch,67.0,125.0,71.0,,,,X,Flyweight
Tony Bonello,Orthodox,74.0,185.0,,,,,The Gun,
Gabriel Bonfim,Orthodox,73.0,170.0,72.0,,,,Marretinha,Welterweight
Stephen Thompson,Orthodox,72.0,170.0,75.0,,,,Wonderboy,Welterweight
Nicolas Dalby,Orthodox,71.0,170.0,74.0,,,,Danish Dynamite,Welterweight
Mounir Lazzez,Orthodox,73.0,170.0,76.0,,,,The Sniper,Welterweight
Trey Waters,Orthodox,77.0,170.0,77.0,,,,The Truth,Welterweight
Ismael Bonfim,Orthodox,68.0,155.0,71.0,,,,Marreta,Lightweight
Chris Padilla,Orthodox,69.0,155.0,74.0,,,,Taco,Lightweight
Nazim Sadykhov,Southpaw,61.0,155.0,69.0,,,,Black Wolf,Lightweight
Vinc Pichel,Orthodox,61.0,155.0,72.0,,,,From Hell,Lightweight
Benoit Saint Denis,Southpaw,71.0,155.0,73.0,,,,God of War,Lightweight
Terrance McKinney,Switch,61.0,155.0,73.0,,,,T. Wrecks,Lightweight
Nariman Abbasov,Orthodox,68.0,155.0,66.0,,,,Bayraktar,
Jesse Bongfeldt,Orthodox,72.0,185.0,,,,,Water,Middleweight
Chris Weidman,Orthodox,74.0,185.0,78.0,,,,The All-American,Middleweight
Stephan Bonnar,Orthodox,76.0,205.0,79.0,,,,The American Psycho,Light Heavyweight
Kyle Kingsbury,Orthodox,76.0,205.0,79.0,,,,Kingsbu,Light Heavyweight
Krzysztof Soszynski,Open Stance,73.0,205.0,77.0,,,,The Polish Experiment,Light Heavyweight
Mark Coleman,Orthodox,73.0,205.0,75.0,,,,The Hammer,Light Heavyweight
Mike Nickels,Orthodox,76.0,205.0,,,,,No Nickname,Light Heavyweight
Forrest Griffin,Orthodox,75.0,205.0,77.0,,,,No Nickname,Light Heavyweight
James Irvin,Orthodox,74.0,205.0,75.0,,,,The Sandman,Light Heavyweight
Sam Hoger,Orthodox,74.0,205.0,,,,,The Alaskan Assassin,Light Heavyweight
Brandon Royval,Southpaw,69.0,125.0,68.0,,,,Raw Dawg,Flyweight
Ray Borg,Orthodox,64.0,135.0,63.0,,,,The Tazmexican Devil,Flyweight
Raulian Paiva,Orthodox,68.0,135.0,69.0,,,,No Nickname,Bantamweight
Gustavo Gabriel,Orthodox,66.0,125.0,,,,,No Nickname,
Gabriel Silva,Orthodox,66.0,135.0,71.0,,,,No Nickname,Bantamweight
Louis Smolka,Orthodox,69.0,135.0,68.0,,,,Da Last Samurai,Bantamweight
Justin Scoggins,Southpaw,67.0,125.0,66.0,,,,No Nickname,Flyweight
Shane Howell,Orthodox,68.0,125.0,,,,,No Nickname,Flyweight
Igor Borisov,Orthodox,72.0,235.0,,,,,No Nickname,
Mark Kerr,Switch,75.0,266.0,,,,,The Smashing Machine,Heavyweight
Kevin Borjas,Orthodox,65.0,125.0,68.0,,,,El Gallo Negro,Flyweight
Sumudaerji,Southpaw,68.0,125.0,72.0,,,,The Tibetan Eagle,Flyweight
Alessandro Costa,Orthodox,64.0,125.0,67.0,,,,Nono,Flyweight
Joshua Van,Orthodox,65.0,125.0,65.0,,,,The Fearless,Flyweight
Victor Dias,Orthodox,66.0,125.0,69.0,,,,Crazy Horse,
Caio Borralho,Southpaw,73.0,185.0,75.0,,,,The Natural,Middleweight
Nassourdine Imavov,Orthodox,75.0,185.0,75.0,,,,The Sniper,Middleweight
Abus Magomedov,Orthodox,74.0,185.0,78.0,,,,No Nickname,Middleweight
Armen Petrosyan,Orthodox,75.0,185.0,71.0,,,,Superman,Middleweight
Gadzhi Omargadzhiev,Switch,73.0,170.0,71.0,,,,No Nickname,Welterweight
Jesse Murray,Orthodox,75.0,205.0,78.0,,,,Hollywood,
Aaron Jeffery,Orthodox,74.0,185.0,73.0,,,,No Nickname,
Zachary Borrego,Switch,74.0,185.0,78.0,,,,The Dragon,
Viacheslav Borshchev,Orthodox,71.0,155.0,69.0,,,,Slava Claus,Lightweight
Matheus Camilo,Orthodox,61.0,155.0,69.0,,,,Jaguar,Lightweight
Tom Nolan,Southpaw,75.0,155.0,73.0,,,,Big Train,Lightweight
James Llontop,Orthodox,72.0,155.0,73.0,,,,Goku,Catch Weight
Mike Davis,Orthodox,72.0,155.0,72.0,,,,Beast Boy,Lightweight
Marc Diakiese,Orthodox,61.0,155.0,73.0,,,,Bonecrusher,Lightweight
Dakota Bush,Orthodox,61.0,155.0,73.0,,,,No Nickname,Lightweight
Aleksa Camur,Orthodox,73.0,205.0,74.0,,,,No Nickname,Light Heavyweight
Raphael Pessoa,Orthodox,75.0,262.0,78.0,,,,Bebezao,Heavyweight
Ciryl Gane,Orthodox,76.0,245.0,81.0,,,,Bon Gamin,Heavyweight
Daniel Spitz,Orthodox,79.0,245.0,82.0,,,,No Nickname,Heavyweight
Steve Bosse,Orthodox,71.0,205.0,72.0,,,,The Boss,Light Heavyweight
Sean O'Connell,Orthodox,73.0,205.0,74.0,,,,The Real OC,Light Heavyweight
Marcus Bossett,Orthodox,73.0,215.0,,,,,The Grasshopper,Open Weight
Steve Nelmark,Orthodox,72.0,240.0,,,,,The Sandman,Open Weight
Dan Severn,Southpaw,74.0,250.0,,,,,The Beast,Open Weight
Eldo Xavier Dias,Orthodox,71.0,180.0,,,,,No Nickname,
Chris Bostick,Orthodox,,,,,,,No Nickname,
Jorge Interiano,Orthodox,73.0,205.0,,,,,No Nickname,
Poliana Botelho,Orthodox,68.0,125.0,67.0,,,,No Nickname,Women's Flyweight
Luana Carolina,Orthodox,66.0,135.0,69.0,,,,Dread,Women's Flyweight
Lauren Mueller,Orthodox,65.0,125.0,67.0,,,,Princess Tiger,Women's Flyweight
Cynthia Calvillo,Orthodox,64.0,115.0,64.0,,,,No Nickname,Women's Flyweight
Syuri Kondo,Orthodox,64.0,115.0,66.0,,,,No Nickname,Women's Strawweight
Pearl Gonzalez,Orthodox,64.0,115.0,,,,,No Nickname,Women's Strawweight
Francois Botha,Orthodox,74.0,260.0,,,,,White Buffalo,
Ilian Bouafia,Southpaw,77.0,185.0,78.0,,,,The Gorilla,
Neemias Santana,Orthodox,74.0,185.0,76.0,,,,No Nickname,
Gregory Bouchelaghem,Switch,74.0,183.0,,,,,No Nickname,
Paulo Filho,Southpaw,68.0,185.0,,,,,No Nickname,
Rich Bouphanouvong,Orthodox,67.0,170.0,,,,,No Nickname,
Michael Chandler,Orthodox,68.0,155.0,71.0,,,,Iron,Lightweight
Mike Bourke,Orthodox,72.0,275.0,,,,,The Rhino,
Alexander Otsuka,Orthodox,73.0,205.0,,,,,The Diet Butcher,
Jess Bouscal,Orthodox,,155.0,,,,,No Nickname,
Luis Mendoza,Orthodox,,155.0,,,,,No Nickname,
Tai Bowden,Orthodox,71.0,230.0,,,,,No Nickname,Open Weight
Jack Nilson,Orthodox,,,,,,,No Nickname,
Melton Bowen,Orthodox,72.0,225.0,,,,,The Punisher,Open Weight
Steve Jennum,Orthodox,61.0,215.0,,,,,No Nickname,Open Weight
Kyron Bowen,Orthodox,75.0,185.0,73.0,,,,Bullseye,
Collin Huckbody,Orthodox,75.0,185.0,76.0,,,,All In,
Brian Bowles,Orthodox,67.0,135.0,70.0,,,,No Nickname,Bantamweight
George Roop,Orthodox,73.0,135.0,72.0,,,,No Nickname,Bantamweight
Takeya Mizugaki,Orthodox,67.0,135.0,69.0,,,,No Nickname,Bantamweight
Damacio Page,Orthodox,66.0,135.0,66.0,,,,The Angel of Death,Bantamweight
Marcos Galvao,Orthodox,67.0,135.0,,,,,Loro,
Roger Bowling,Orthodox,69.0,155.0,68.0,,,,Relentless,Lightweight
Abel Trujillo,Orthodox,68.0,155.0,70.0,,,,Killa,Lightweight
Tarec Saffiedine,Switch,61.0,170.0,70.0,,,,Sponge,Welterweight
Brandon Saling,Orthodox,61.0,170.0,,,,,White Steel,
Jerron Peoples,Orthodox,72.0,170.0,,,,,No Nickname,
Josh Thornburg,Orthodox,72.0,170.0,,,,,No Nickname,
Ashe Bowman,Orthodox,69.0,155.0,,,,,The Archer,
Josh Thomson,Orthodox,61.0,155.0,71.0,,,,The Punk,Lightweight
Anvar Boynazarov,Orthodox,69.0,145.0,,,,,The Uzbek,
Erik Silva,Orthodox,69.0,145.0,71.0,,,,The King,Featherweight
Colley Bradford,Orthodox,67.0,145.0,,,,,No Nickname,
Trevor Harris,Orthodox,66.0,145.0,,,,,No Nickname,
Kyle Bradley,Orthodox,69.0,155.0,71.0,,,,No Nickname,Lightweight
Joe Lauzon,Orthodox,61.0,155.0,71.0,,,,No Nickname,Lightweight
Chris Lytle,Orthodox,71.0,170.0,68.0,,,,Lights Out,Welterweight
Sean Brady,Orthodox,61.0,170.0,72.0,,,,No Nickname,Welterweight
Michael Morales,Orthodox,72.0,170.0,79.0,,,,No Nickname,Welterweight
Belal Muhammad,Orthodox,71.0,170.0,72.0,,,,Remember the Name,Welterweight
Michael Chiesa,Southpaw,73.0,170.0,75.0,,,,Maverick,Welterweight
Christian Aguilera,Switch,69.0,170.0,72.0,,,,The Beast,Welterweight
Court McGee,Orthodox,71.0,170.0,75.0,,,,The Crusher,Welterweight
Ebenezer Fontes Braga,Orthodox,72.0,199.0,,,,,Pitbull,Middleweight
Akira Shoji,Orthodox,68.0,195.0,,,,,No Nickname,
Jeremy Horn,Orthodox,73.0,185.0,74.0,,,,Gumby,Middleweight
Ramiz Brahimaj,Orthodox,61.0,170.0,72.0,,,,No Nickname,Welterweight
Austin Vanderford,Orthodox,71.0,170.0,74.0,,,,The Gentleman,Catch Weight
Billy Ray Goff,Switch,61.0,170.0,72.0,,,,No Nickname,Welterweight
Mickey Gall,Switch,74.0,170.0,74.0,,,,No Nickname,Welterweight
Themba Gorimbo,Orthodox,73.0,170.0,77.0,,,,The Answer,Welterweight
Micheal Gillmore,Orthodox,71.0,170.0,72.0,,,,The Gentleman,Welterweight
Sasha Palatnikov,Switch,73.0,170.0,72.0,,,,No Nickname,Welterweight
Max Griffin,Orthodox,71.0,170.0,76.0,,,,Pain,Welterweight
Adam Bramhald,Orthodox,61.0,135.0,70.0,,,,Samurai,
Malcolm Wellmaker,Switch,61.0,135.0,71.0,,,,The Machine,Bantamweight
Aaron Riley,Southpaw,68.0,155.0,69.0,,,,No Nickname,Lightweight
Tomasz Drwal,Orthodox,73.0,205.0,76.0,,,,Gorilla,Middleweight
Gerald Harris,Southpaw,71.0,185.0,77.0,,,,No Nickname,Middleweight
Billy Brand,Orthodox,66.0,135.0,65.0,,,,No Nickname,
Diego Brandao,Orthodox,67.0,145.0,64.0,,,,DB,Featherweight
Brian Ortega,Switch,68.0,145.0,69.0,,,,T-City,Featherweight
Katsunori Kikuno,Orthodox,68.0,145.0,66.0,,,,No Nickname,Featherweight
Conor McGregor,Southpaw,69.0,155.0,74.0,,,,The Notorious,Welterweight
Dustin Poirier,Southpaw,69.0,155.0,72.0,,,,The Diamond,Lightweight
Daniel Pineda,Orthodox,67.0,145.0,69.0,,,,The Pit,Featherweight
Joey Gambino,Orthodox,67.0,145.0,,,,,The Raging Warrior,Featherweight
Shi Ming,Orthodox,62.0,115.0,60.0,,,,No Nickname,Women's Strawweight
Wang Cong,Southpaw,66.0,125.0,66.0,,,,The Joker,Women's Flyweight
Loma Lookboonmee,Orthodox,61.0,115.0,61.0,,,,No Nickname,Women's Strawweight
Denise Gomes,Orthodox,62.0,115.0,63.0,,,,Dee,Women's Strawweight
Marnic Mann,Southpaw,60.0,115.0,64.0,,,,The Sawed-Off Savage,Women's Strawweight
Michael Bravo,Orthodox,,155.0,,,,,No Nickname,
Estevan Payan,Orthodox,61.0,145.0,,,,,El Terrible,Featherweight
Alex Caceres,Southpaw,61.0,145.0,73.0,,,,Bruce Leeroy,Featherweight
Mike Breeden,Orthodox,61.0,155.0,70.0,,,,Money,Lightweight
Anshul Jubli,Switch,72.0,155.0,69.0,,,,King of Lions,Lightweight
Natan Levy,Southpaw,69.0,155.0,71.0,,,,Lethal,Lightweight
Anthony Romero,Orthodox,71.0,155.0,70.0,,,,The Genius,
Brendan Allen,Orthodox,74.0,185.0,75.0,,,,All In,Middleweight
Daniel Kelly,Southpaw,72.0,185.0,70.0,,,,No Nickname,Middleweight
Keita Nakamura,Southpaw,71.0,170.0,73.0,,,,K-Taro,Welterweight
Cathal Pendred,Orthodox,73.0,170.0,75.0,,,,The Punisher,Welterweight
Luiz Dutra,Orthodox,71.0,170.0,,,,,Besouro,Welterweight
Elves Brener,Orthodox,61.0,155.0,72.0,,,,No Nickname,Catch Weight
Esteban Ribovics,Orthodox,61.0,155.0,69.0,,,,El Gringo,Lightweight
