name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url,nickname,weight_class
Ricky Rainey,Switch,73.0,170.0,77.0,,,,The Sniper,Welterweight
Hernani Perpetuo,Orthodox,72.0,170.0,,,,,No Nickname,Welterweight
Jason Medina,Orthodox,69.0,180.0,,,,,No Nickname,
Frank Megallon,Southpaw,61.0,185.0,,,,,No Nickname,
Tyler Stinson,Orthodox,75.0,170.0,,,,,The Evolution,
Evangelista Santos,Orthodox,61.0,170.0,76.0,,,,Cyborg,
Felipe Portela,Orthodox,,170.0,,,,,Balboa,
Gary Quan,Orthodox,68.0,143.0,,,,,No Nickname,
Marcelo Mello,Southpaw,67.0,170.0,,,,,No Nickname,Lightweight
David Roberts,Orthodox,73.0,170.0,,,,,No Nickname,Lightweight
Antonio Mendes,Southpaw,75.0,205.0,77.0,,,,Samurai,Light Heavyweight
Ashiek Ajim,Switch,68.0,135.0,71.0,,,,Peak Physique,
Askar Mozharov,Orthodox,75.0,205.0,74.0,,,,No Nickname,Light Heavyweight
Steve Mensing,Orthodox,71.0,185.0,,,,,The Machine,
Buck Meredith,Orthodox,74.0,185.0,,,,,No Nickname,
Joe Merritt,Orthodox,72.0,170.0,,,,,No Nickname,Welterweight
Bia Mesquita,Orthodox,64.0,135.0,67.0,,,,No Nickname,Women's Bantamweight
Mohamed Ado,Switch,71.0,170.0,76.0,,,,No Nickname,
Garett Whiteley,Orthodox,72.0,155.0,72.0,,,,Goodnight,Lightweight
Chris Mickle,Orthodox,69.0,145.0,,,,,No Nickname,
Kristof Midoux,Orthodox,73.0,220.0,,,,,The Hurricane,Heavyweight
Keith Mielke,Orthodox,68.0,185.0,,,,,No Nickname,
Chris Mierzwiak,Orthodox,73.0,185.0,,,,,No Nickname,
Billy Miles,Orthodox,61.0,170.0,,,,,The Kid,Welterweight
Phillip Miller,Orthodox,71.0,185.0,,,,,No Nickname,Middleweight
Tim Stout,Orthodox,71.0,185.0,,,,,No Nickname,
Lodune Sincaid,Orthodox,69.0,185.0,,,,,No Nickname,Middleweight
