fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Beneil Dariush,Arman Tsarukyan,espn_source,210,-260,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Jalin Turner,King Green,espn_source,-175,145,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Rob Font,Deiveson Figueiredo,espn_source,-125,105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Sean Brady,Kelvin Gastelum,espn_source,-115,-105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,espn_source,260,-330,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Punahele Soriano,Dustin Stoltzfus,espn_source,-575,360,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Miesha Tate,Julia Avila,espn_source,125,-150,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Zachary Reese,Cody Brundage,espn_source,-270,220,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Drakkar Klose,Joe Solecki,espn_source,-130,110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Rodolfo Bellato,Ihor Potieria,espn_source,-400,300,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Wellington Turman,Jared Gooden,espn_source,-220,180,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Veronica Hardy,Jamey-Lyn Horth,espn_source,175,-210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Song Yadong,Chris Gutierrez,espn_source,-370,280,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Anthony Smith,Khalil Rountree Jr.,espn_source,175,-210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Nasrat Haqparast,Jamie Mullarkey,espn_source,-200,170,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Tim Elliott,Sumudaerji,espn_source,-170,140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,JunYong Park,Andre Muniz,espn_source,-190,160,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Song Kenan,Kevin Jousset,espn_source,125,-150,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
