event,fight_date,fighter_a,fighter_b,judge,round_1_a,round_1_b,round_2_a,round_2_b,round_3_a,round_3_b,round_4_a,round_4_b,round_5_a,round_5_b,total_a,total_b,decision_type,winner,card_type,raw_scorecards,source_file
UFC Fight Night: Bisping vs. Kennedy,2014-04-16,Nordine Taleb,Vik Grujic,raw_scorecards,,,,,,,,,,,,,Early Prelims,Nordine Taleb,Early Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bisping vs. Kennedy,2014-04-16,Richard Walsh,Chris Indich,raw_scorecards,,,,,,,,,,,,,Early Prelims,Richard Walsh,Early Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bisping vs. Kennedy,2014-04-16,Mitch Gagnon,Tim Gorman,raw_scorecards,,,,,,,,,,,,,Early Prelims,Mitch Gagnon,Early Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Travis Browne,Fabricio Werdum,raw_scorecards,,,,,,,,,,,,,Main Card,Fabricio Werdum,Main Card,45-50 | 45-50 | 46-49,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Liz Carmouche,Miesha Tate,raw_scorecards,,,,,,,,,,,,,Main Card,Miesha Tate,Main Card,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Yoel Romero,Brad Tavares,raw_scorecards,,,,,,,,,,,,,Main Card,Yoel Romero,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Rafael Dos Anjos,Khabib Nurmagomedov,raw_scorecards,,,,,,,,,,,,,Prelims,Khabib Nurmagomedov,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Thiago Alves,Seth Baczynski,raw_scorecards,,,,,,,,,,,,,Prelims,Thiago Alves,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Pat Healy,Jorge Masvidal,raw_scorecards,,,,,,,,,,,,,Prelims,Jorge Masvidal,Prelims,28-29 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Jordan Mein,Hernani Perpetuo,raw_scorecards,,,,,,,,,,,,,Prelims,Jordan Mein,Prelims,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Dustin Ortiz,Ray Borg,raw_scorecards,,,,,,,,,,,,,Early Prelims,Dustin Ortiz,Early Prelims,29-28 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Werdum vs. Browne,2014-04-19,Chas Skelly,Mirsad Bektic,raw_scorecards,,,,,,,,,,,,,Early Prelims,Mirsad Bektic,Early Prelims,28-28 | 27-29 | 27-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 172: Jones vs. Teixeira,2014-04-26,Jon Jones,Glover Teixeira,raw_scorecards,,,,,,,,,,,,,Main Card,Jon Jones,Main Card,50-45 | 50-45 | 50-45,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 172: Jones vs. Teixeira,2014-04-26,Anthony Johnson,Phil Davis,raw_scorecards,,,,,,,,,,,,,Main Card,Anthony Johnson,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 172: Jones vs. Teixeira,2014-04-26,Takanori Gomi,Isaac Vallie-Flagg,raw_scorecards,,,,,,,,,,,,,Prelims,Takanori Gomi,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 172: Jones vs. Teixeira,2014-04-26,Jessamyn Duke,Bethe Correia,raw_scorecards,,,,,,,,,,,,,Prelims,Bethe Correia,Prelims,27-30 | 28-29 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Brown vs. Silva,2014-05-10,Neil Magny,Tim Means,raw_scorecards,,,,,,,,,,,,,Main Card,Neil Magny,Main Card,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Brown vs. Silva,2014-05-10,Chris Cariaso,Louis Smolka,raw_scorecards,,,,,,,,,,,,,Main Card,Chris Cariaso,Main Card,29-28 | 28-29 | 29-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Brown vs. Silva,2014-05-10,Ed Herman,Rafael Natal,raw_scorecards,,,,,,,,,,,,,Prelims,Ed Herman,Prelims,29-28 | 29-28 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Brown vs. Silva,2014-05-10,Kyoji Horiguchi,Darrell Montague,raw_scorecards,,,,,,,,,,,,,Prelims,Kyoji Horiguchi,Prelims,29-28 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Brown vs. Silva,2014-05-10,Yan Cabral,Zak Cummings,raw_scorecards,,,,,,,,,,,,,Prelims,Zak Cummings,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Brown vs. Silva,2014-05-10,Manvel Gamburyan,Nik Lentz,raw_scorecards,,,,,,,,,,,,,Early Prelims,Nik Lentz,Early Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 173: Barao vs. Dillashaw,2014-05-24,Takeya Mizugaki,Francisco Rivera,raw_scorecards,,,,,,,,,,,,,Main Card,Takeya Mizugaki,Main Card,30-27 | 30-27 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 173: Barao vs. Dillashaw,2014-05-24,Michael Chiesa,Francisco Trinaldo,raw_scorecards,,,,,,,,,,,,,Prelims,Michael Chiesa,Prelims,30-27 | 30-26 | 30-26,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 173: Barao vs. Dillashaw,2014-05-24,Chris Holdsworth,Chico Camus,raw_scorecards,,,,,,,,,,,,,Prelims,Chris Holdsworth,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 173: Barao vs. Dillashaw,2014-05-24,Anthony Njokuani,Vinc Pichel,raw_scorecards,,,,,,,,,,,,,Early Prelims,Vinc Pichel,Early Prelims,28-29 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 173: Barao vs. Dillashaw,2014-05-24,Sam Sicilia,Aaron Phillips,raw_scorecards,,,,,,,,,,,,,Early Prelims,Sam Sicilia,Early Prelims,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 173: Barao vs. Dillashaw,2014-05-24,David Michaud,Li Jingliang,raw_scorecards,,,,,,,,,,,,,Early Prelims,Li Jingliang,Early Prelims,27-30 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Munoz vs. Mousasi,2014-05-31,Francis Carmont,CB Dollaway,raw_scorecards,,,,,,,,,,,,,Main Card,CB Dollaway,Main Card,27-30 | 28-29 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Munoz vs. Mousasi,2014-05-31,Luke Barnatt,Sean Strickland,raw_scorecards,,,,,,,,,,,,,Main Card,Sean Strickland,Main Card,28-29 | 27-30 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Munoz vs. Mousasi,2014-05-31,Drew Dober,Nick Hein,raw_scorecards,,,,,,,,,,,,,Prelims,Nick Hein,Prelims,28-29 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Munoz vs. Mousasi,2014-05-31,Peter Sobotta,Pawel Pawlak,raw_scorecards,,,,,,,,,,,,,Prelims,Peter Sobotta,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Munoz vs. Mousasi,2014-05-31,Maximo Blanco,Andy Ogle,raw_scorecards,,,,,,,,,,,,,Prelims,Maximo Blanco,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Munoz vs. Mousasi,2014-05-31,Ruslan Magomedov,Viktor Pesta,raw_scorecards,,,,,,,,,,,,,Prelims,Ruslan Magomedov,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Ross Pearson,Diego Sanchez,raw_scorecards,,,,,,,,,,,,,Main Card,Diego Sanchez,Main Card,28-29 | 27-30 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Sergio Pettis,Yaotzin Meza,raw_scorecards,,,,,,,,,,,,,Prelims,Sergio Pettis,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Lance Benoist,Bobby Voelker,raw_scorecards,,,,,,,,,,,,,Prelims,Lance Benoist,Prelims,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Scott Jorgensen,Danny Martinez,raw_scorecards,,,,,,,,,,,,,Prelims,Scott Jorgensen,Prelims,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Demetrious Johnson,Ali Bagautinov,raw_scorecards,,,,,,,,,,,,,Main Card,Demetrious Johnson,Main Card,50-45 | 50-45 | 50-45,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Rory MacDonald,Tyron Woodley,raw_scorecards,,,,,,,,,,,,,Main Card,Rory MacDonald,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Ryan Bader,Rafael Cavalcante,raw_scorecards,,,,,,,,,,,,,Main Card,Ryan Bader,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Andrei Arlovski,Brendan Schaub,raw_scorecards,,,,,,,,,,,,,Main Card,Andrei Arlovski,Main Card,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Valerie Letourneau,Elizabeth Phillips,raw_scorecards,,,,,,,,,,,,,Prelims,Valerie Letourneau,Prelims,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Yves Jabouin,Mike Easton,raw_scorecards,,,,,,,,,,,,,Prelims,Yves Jabouin,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 174: Johnson vs. Bagautinov,2014-06-14,Roland Delorme,Michinori Tanaka,raw_scorecards,,,,,,,,,,,,,Early Prelims,Michinori Tanaka,Early Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Cub Swanson,Jeremy Stephens,raw_scorecards,,,,,,,,,,,,,Main Card,Cub Swanson,Main Card,48-47 | 49-46 | 49-46,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Kelvin Gastelum,Nico Musoke,raw_scorecards,,,,,,,,,,,,,Main Card,Kelvin Gastelum,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Cezar Ferreira,Andrew Craig,raw_scorecards,,,,,,,,,,,,,Main Card,Cezar Ferreira,Main Card,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Ricardo Lamas,Hacran Dias,raw_scorecards,,,,,,,,,,,,,Main Card,Ricardo Lamas,Main Card,29-28 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Clint Hester,Antonio Braga Neto,raw_scorecards,,,,,,,,,,,,,Main Card,Clint Hester,Main Card,29-28 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Joe Ellenberger,James Moontasri,raw_scorecards,,,,,,,,,,,,,Main Card,Joe Ellenberger,Main Card,29-28 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Swanson vs. Stephens,2014-06-28,Marcelo Guimaraes,Andy Enz,raw_scorecards,,,,,,,,,,,,,Prelims,Marcelo Guimaraes,Prelims,29-28 | 29-28 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 175: Weidman vs. Machida,2014-07-05,Lyoto Machida,Chris Weidman,raw_scorecards,,,,,,,,,,,,,Main Card,Chris Weidman,Main Card,46-49 | 47-48 | 45-49,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 175: Weidman vs. Machida,2014-07-05,Uriah Hall,Thiago Santos,raw_scorecards,,,,,,,,,,,,,Main Card,Uriah Hall,Main Card,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 175: Weidman vs. Machida,2014-07-05,Marcus Brimage,Russell Doane,raw_scorecards,,,,,,,,,,,,,Main Card,Russell Doane,Main Card,27-30 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 175: Weidman vs. Machida,2014-07-05,Ildemar Alcantara,Kenny Robertson,raw_scorecards,,,,,,,,,,,,,Prelims,Kenny Robertson,Prelims,26-30 | 26-30 | 26-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 175: Weidman vs. Machida,2014-07-05,Chris Camozzi,Bruno Santos,raw_scorecards,,,,,,,,,,,,,Prelims,Bruno Santos,Prelims,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 175: Weidman vs. Machida,2014-07-05,Luke Zachrich,Guilherme Vasconcelos,raw_scorecards,,,,,,,,,,,,,Early Prelims,Luke Zachrich,Early Prelims,29-28 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
The Ultimate Fighter 19 Finale,2014-07-06,Dustin Ortiz,Justin Scoggins,raw_scorecards,,,,,,,,,,,,,Main Card,Dustin Ortiz,Main Card,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
The Ultimate Fighter 19 Finale,2014-07-06,Jesse Ronson,Kevin Lee,raw_scorecards,,,,,,,,,,,,,Prelims,Kevin Lee,Prelims,27-30 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
The Ultimate Fighter 19 Finale,2014-07-06,Dan Spohn,Patrick Walsh,raw_scorecards,,,,,,,,,,,,,Prelims,Patrick Walsh,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
The Ultimate Fighter 19 Finale,2014-07-06,Sarah Moras,Alexis Dufresne,raw_scorecards,,,,,,,,,,,,,Early Prelims,Sarah Moras,Early Prelims,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cerrone vs. Miller,2014-07-16,Pat Healy,Gleison Tibau,raw_scorecards,,,,,,,,,,,,,Prelims,Gleison Tibau,Prelims,28-29 | 28-29 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cerrone vs. Miller,2014-07-16,Claudia Gadelha,Tina Lahdemaki,raw_scorecards,,,,,,,,,,,,,Early Prelims,Claudia Gadelha,Early Prelims,30-27 | 30-27 | 30-26,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: McGregor vs. Brandao,2014-07-19,Brad Pickett,Ian McCall,raw_scorecards,,,,,,,,,,,,,Main Card,Ian McCall,Main Card,28-29 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: McGregor vs. Brandao,2014-07-19,Phil Harris,Neil Seery,raw_scorecards,,,,,,,,,,,,,Prelims,Neil Seery,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: McGregor vs. Brandao,2014-07-19,Trevor Smith,Tor Troeng,raw_scorecards,,,,,,,,,,,,,Prelims,Trevor Smith,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Robbie Lawler,Matt Brown,raw_scorecards,,,,,,,,,,,,,Main Card,Robbie Lawler,Main Card,49-46 | 49-46 | 48-47,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Josh Thomson,King Green,raw_scorecards,,,,,,,,,,,,,Main Card,King Green,Main Card,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Daron Cruickshank,Jorge Masvidal,raw_scorecards,,,,,,,,,,,,,Prelims,Jorge Masvidal,Prelims,27-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Kyle Kingsbury,Patrick Cummins,raw_scorecards,,,,,,,,,,,,,Prelims,Patrick Cummins,Prelims,24-30 | 25-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Hernani Perpetuo,Tim Means,raw_scorecards,,,,,,,,,,,,,Prelims,Tim Means,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Akbarh Arreola,Tiago Trator,raw_scorecards,,,,,,,,,,,,,Early Prelims,Tiago Trator,Early Prelims,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Andreas Stahl,Gilbert Burns,raw_scorecards,,,,,,,,,,,,,Early Prelims,Gilbert Burns,Early Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Juliana Lima,Joanna Jedrzejczyk,raw_scorecards,,,,,,,,,,,,,Early Prelims,Joanna Jedrzejczyk,Early Prelims,27-30 | 28-29 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC on Fox: Lawler vs. Brown,2014-07-26,Steven Siler,Noad Lahat,raw_scorecards,,,,,,,,,,,,,Early Prelims,Noad Lahat,Early Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Ryan Bader,Ovince Saint Preux,raw_scorecards,,,,,,,,,,,,,Main Card,Ryan Bader,Main Card,49-46 | 49-46 | 48-47,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Jussier Formiga,Zach Makovsky,raw_scorecards,,,,,,,,,,,,,Prelims,Jussier Formiga,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Sara McMann,Lauren Murphy,raw_scorecards,,,,,,,,,,,,,Prelims,Sara McMann,Prelims,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Sam Alvey,Tom Watson,raw_scorecards,,,,,,,,,,,,,Prelims,Tom Watson,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Frankie Saenz,Nolan Ticman,raw_scorecards,,,,,,,,,,,,,Prelims,Frankie Saenz,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Henderson vs. dos Anjos,2014-08-23,James Vick,Valmir Lazaro,raw_scorecards,,,,,,,,,,,,,Main Card,James Vick,Main Card,29-28 | 30-27 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
