fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url,title_fight
9656,UFC on FOX: Dillashaw vs. Barao II,2015-07-25,"Chicago, Illinois, USA",Kenny Robertson,Ben Saunders,Ben Saunders,Welterweight,S-DEC,3.0,5:00,3,0,,0
9657,UFC on FOX: Gustafsson vs Johnson,2015-01-24,"Stockholm, Sweden",Kenny Robertson,Sultan Aliev,Kenny Robertson,Welterweight,KO/TKO Punch,1.0,2:42,3,0,,0
9658,UFC 175: Weidman vs Machida,2014-07-05,"Las Vegas, Nevada, USA",Kenny Robertson,Ildemar Alcantara,Kenny Robertson,Welterweight,U-DEC,3.0,5:00,3,0,,0
9659,UFC on FUEL TV: Munoz vs Weidman,2012-07-11,"San Jose, California, USA",Kenny Robertson,Aaron Simpson,Aaron Simpson,Welterweight,U-DEC,3.0,5:00,3,0,,0
9660,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,"Des Moines, Iowa, USA",Gillian Robertson,Marina Rodriguez,Gillian Robertson,Women's Strawweight,KO/TKO Punches,2.0,2:07,3,0,,0
9661,UFC 303: Pereira vs. Prochazka 2,2024-06-29,"Las Vegas, Nevada, USA",Gillian Robertson,Michelle Waterson-Gomez,Gillian Robertson,Women's Strawweight,U-DEC,3.0,5:00,3,0,,0
9662,UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Gillian Robertson,Polyana Viana,Gillian Robertson,Women's Strawweight,KO/TKO Punches,2.0,3:12,3,0,,0
9663,UFC Fight Night: Holloway vs. Allen,2023-04-15,"Kansas City, Missouri, USA",Gillian Robertson,Piera Rodriguez,Gillian Robertson,Women's Strawweight,SUB Armbar,2.0,4:21,3,0,,0
9664,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Gillian Robertson,Mariya Agapova,Gillian Robertson,Women's Flyweight,SUB Rear Naked Choke,2.0,2:19,3,0,,0
9665,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,"Las Vegas, Nevada, USA",Gillian Robertson,JJ Aldrich,JJ Aldrich,Women's Flyweight,U-DEC,3.0,5:00,3,0,,0
9666,UFC Fight Night: Thompson vs. Neal,2020-12-19,"Las Vegas, Nevada, USA",Gillian Robertson,Taila Santos,Taila Santos,Women's Flyweight,U-DEC,3.0,5:00,3,0,,0
9667,The Ultimate Fighter: A New World Champion Finale,2017-12-01,"Las Vegas, Nevada, USA",Gillian Robertson,Emily Whitmire,Gillian Robertson,Women's Flyweight,SUB Armbar,1.0,2:12,3,0,,0
9668,UFC 72: Victory,2007-06-16,"Belfast, Northern Ireland, United Kingdom",Colin Robinson,Eddie Sanchez,Eddie Sanchez,Heavyweight,KO/TKO Elbows,2.0,0:32,3,0,,0
9669,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Shem Rock,Nurullo Aliev,Nurullo Aliev,Lightweight,U-DEC,3.0,5:00,3,0,,0
